# ells    n1    n2    n3    n4    n5    n6    n7    n8    n9    n10
1.400000000000000000e+01 1.253929142916744082e-17 2.663194028024336865e-18 1.306486748671840055e-18 7.528457250010289774e-19 4.649012057817374876e-19 2.952248953184266433e-19 1.872735951148191809e-19 1.148369003379726787e-19 6.400185745300845111e-20 2.541238832180501964e-20
1.500000000000000000e+01 1.065321850844019450e-17 2.371147926153760097e-18 1.174012350328076669e-18 6.799805977256147841e-19 4.214046690702160620e-19 2.683545706573828683e-19 1.706343752102845670e-19 1.048590548097228117e-19 5.856614613235018292e-20 2.331301209432263783e-20
1.600000000000000000e+01 9.117980807130822940e-18 2.120105831868043941e-18 1.059484562194993125e-18 6.168047581218544369e-19 3.836146269340967636e-19 2.449704159939956005e-19 1.561354278904182426e-19 9.615630017313538278e-20 5.381992442389923562e-20 2.147758748576099668e-20
1.800000000000000000e+01 6.805274761666305913e-18 1.713411983349415214e-18 8.722945144442563368e-19 5.130810027031086604e-19 3.213859571906378009e-19 2.063723106420253161e-19 1.321535913233746454e-19 8.173770931294412178e-20 4.594549310212573816e-20 1.842667960692034529e-20
2.000000000000000000e+01 5.190047576969714770e-18 1.401308047001418720e-18 7.268139920603667642e-19 4.319629446839712131e-19 2.725182621469041407e-19 1.759665715233967736e-19 1.132101710344692310e-19 7.031910726042800847e-20 3.969554341897300913e-20 1.599962544126061386e-20
2.200000000000000000e+01 4.033452510757426759e-18 1.157212138358999615e-18 6.114769691618029253e-19 3.672260910718601079e-19 2.333509446225267168e-19 1.515186254891755465e-19 9.793889942868979318e-20 6.109142546024924675e-20 3.463179028265202773e-20 1.402822673657295501e-20
2.400000000000000000e+01 3.185374229801427477e-18 9.633830041346863902e-19 5.185499758495848209e-19 3.147060283265416142e-19 2.014334380365625817e-19 1.315296604198882659e-19 8.541927840049898778e-20 5.350867889724686441e-20 3.046060132055933604e-20 1.239952616885471261e-20
2.600000000000000000e+01 2.550915075737552165e-18 8.075953606851785261e-19 4.426870108656520994e-19 2.715129152049989341e-19 1.750616921987898299e-19 1.149572112375090115e-19 7.501062297966359292e-20 4.718921133628563924e-20 2.697633810748083140e-20 1.103512628907725060e-20
2.800000000000000000e+01 2.069281434588515801e-18 6.811455866419712363e-19 3.800786855226474934e-19 2.355856429427737545e-19 1.530188521876258091e-19 1.010559046593793718e-19 6.625451689204730152e-20 4.185971201495724110e-20 2.403091289466495402e-20 9.878587366004764273e-21
3.000000000000000000e+01 1.698148398026862069e-18 5.776766807295729066e-19 3.279399875880905159e-19 2.054148676056713490e-19 1.344116879444713686e-19 8.927782864445111781e-20 5.881407288945944043e-20 3.731936566866593983e-20 2.151543020989109496e-20 8.888181464388729856e-21
3.200000000000000000e+01 1.407904132027165572e-18 4.924356693307943178e-19 2.841887051785153400e-19 1.798723039785246515e-19 1.185729122796009597e-19 7.921311096702921598e-20 5.243639625840535826e-20 3.341723958339282963e-20 1.934809619848540143e-20 8.032463078073188062e-21
3.400000000000000000e+01 1.178326184356568736e-18 4.218156828660656422e-19 2.472410419235053605e-19 1.580981658405308204e-19 1.049925342890869683e-19 7.054816410952356611e-20 4.692824208139297721e-20 3.003797820198599272e-20 1.746631263694536765e-20 7.287345883014650579e-21
3.600000000000000000e+01 9.949434782657439767e-19 3.630214687731873108e-19 2.158700712372723888e-19 1.394267076966331544e-19 9.327608058604652830e-20 6.304028365581003335e-20 4.213956734938273152e-20 2.709179249240084057e-20 1.582138450011432401e-20 6.634094361779178472e-21
3.800000000000000000e+01 8.468466273072716380e-19 3.138659010195987035e-19 1.891117119333447318e-19 1.233343848341563493e-19 8.311267917918006450e-20 5.649801632481302216e-20 3.795221207067430921e-20 2.450800176654791596e-20 1.437484879335209684e-20 6.057905240517213166e-21
4.000000000000000000e+01 7.260173672489502243e-19 2.726101895258436105e-19 1.661972650729402375e-19 1.094041246216200600e-19 7.425489926790645342e-20 5.076895715998408209e-20 3.427192566995861199e-20 2.223014588336792112e-20 1.309597722328451832e-20 5.546937152300250781e-21
4.100000000000000000e+01 6.739355503197691298e-19 2.544992983021597865e-19 1.559833362300062327e-19 1.031421174536886780e-19 7.025184587272029813e-20 4.817008304895446113e-20 3.259756573291949455e-20 2.119132206688164053e-20 1.251147104552231446e-20 5.312843902048090321e-21
4.400000000000000000e+01 5.440801414265301062e-19 2.084991814625041470e-19 1.295380636379311509e-19 8.674723169000470000e-20 5.969580128803893423e-20 4.128192470028414203e-20 2.814237509955953876e-20 1.841816322086048100e-20 1.094646792943914755e-20 4.684081924203025642e-21
4.700000000000000000e+01 4.448899451406954910e-19 1.725881416566139627e-19 1.082965154603023795e-19 7.334577451342297480e-20 5.096737214092307513e-20 3.553941446053203046e-20 2.440465544112280796e-20 1.607939069510328137e-20 9.620325844858987898e-21 4.148595283854987354e-21
5.000000000000000000e+01 3.677548947304102257e-19 1.443475518128394425e-19 9.114513253406079424e-20 6.233041025416332706e-20 4.370636742173000838e-20 3.072061268471625854e-20 2.124694715065121836e-20 1.409247174804398190e-20 8.488003568624191721e-21 3.688943658167334618e-21
5.300000000000000000e+01 3.069086006960508229e-19 1.219595389710971277e-19 7.722939951857575078e-20 5.323406780668987580e-20 3.763555384315906798e-20 2.665471171967542083e-20 1.856352693671014433e-20 1.239394991163541811e-20 7.514833483891301820e-21 3.291680872290824671e-21
