# l C11 C12 C13 ... C110 C21 C22 C23 ... C210 C31 C32 C33 C34 .. C310 ... C1010
10.	1.1358515038490185e-7	5.710220176352365e-7	7.625374891830487e-7	8.640030907699156e-7	9.333754365009469e-7	9.880319734125867e-7	1.034798853054215e-6	1.0778035994613347e-6	1.1213383307286259e-6	1.178536055045387e-6	-3.7217967525371096e-8	-1.6602457354403934e-8	1.1858343561777461e-7	2.2782255238358107e-7	2.9789733129554493e-7	3.485235556457506e-7	3.9069331312589966e-7	4.2931404096971526e-7	4.683988275218029e-7	5.197494012996494e-7	-6.460682304504606e-9	-3.234951469865346e-8	-1.2210749254435863e-8	5.924007146983954e-8	1.3005949813959123e-7	1.82038037678483e-7	2.218837738504823e-7	2.5711613733367347e-7	2.92576407490516e-7	3.3915060405671694e-7	-7.344738082104053e-10	-1.0076948097468008e-8	-2.3377345471811813e-8	-8.979434670409796e-9	3.712868428580586e-8	8.82663515001083e-8	1.292791959168256e-7	1.6284793457475863e-7	1.9550533364495867e-7	2.382293744958529e-7	-5.969853777759686e-11	-1.7954190767607564e-9	-9.371749554202974e-9	-1.7240479941161e-8	-6.727617173563282e-9	2.6911524016926246e-8	6.710636095315792e-8	1.0147841243636358e-7	1.3244812298927123e-7	1.719850121198189e-7	-3.2229704146535508e-12	-1.9852018496383282e-10	-1.9803282570508398e-9	-7.560657428929453e-9	-1.2955543579472374e-8	-5.082000723932414e-9	2.180573596281444e-8	5.5868936085223825e-8	8.701003912966497e-8	1.2398342918631154e-7	-9.87033474843139e-14	-1.2457497303429545e-11	-2.256804935872242e-10	-1.5830166351760255e-9	-5.556891043049432e-9	-9.754041463493149e-9	-3.773982728616933e-9	1.9660966713749844e-8	5.108857641117318e-8	8.673095215412113e-8	-1.288808164430691e-15	-3.464561635794244e-13	-1.1526268546855522e-11	-1.4489555433665002e-10	-9.53270478538496e-10	-3.5882280878158466e-9	-7.1073475235750415e-9	-2.565248087230007e-9	2.0226233743849233e-8	5.5819584652313565e-8	-3.929774356582677e-18	-2.4212460276631605e-15	-1.585582844415735e-13	-3.730051813303446e-12	-4.667328003678804e-11	-3.6017449199354793e-10	-1.7433814716713891e-9	-4.569705367133535e-9	-1.0702345539006098e-9	2.741652583607399e-8	-4.6988898470096325e-22	-7.722580405497843e-19	-1.1817628252298387e-16	-6.1523207455397785e-15	-1.7002755446714046e-13	-3.06756774365329e-12	-3.9484855800002786e-11	-3.5789481476596226e-10	-1.8167288774908985e-9	3.547116683727687e-9
15.	7.008887039755128e-8	5.106662373810419e-7	7.105659272769015e-7	8.15960080436003e-7	8.875948274144717e-7	9.439547118656425e-7	9.921704446937256e-7	1.0365069527483792e-6	1.081389829584423e-6	1.140358780261433e-6	-4.2348179483966016e-8	-2.228220472146816e-8	1.3311584468854843e-7	2.6119283136991043e-7	3.436227145317767e-7	4.0303662496358015e-7	4.524595811408188e-7	4.977108834366409e-7	5.435048089191575e-7	6.036699694615679e-7	-7.593817654348392e-9	-3.8895628418621e-8	-1.5979250924772666e-8	6.979718522207991e-8	1.5590252650399325e-7	2.1932301252970082e-7	2.6788066172604086e-7	3.107666212708616e-7	3.5391924680162e-7	4.105957517432804e-7	-8.836731625999428e-10	-1.2285391445160254e-8	-2.8923681953593433e-8	-1.1763011502477104e-8	4.503509248973683e-8	1.0862832238093168e-7	1.5978494515661696e-7	2.0162002569440265e-7	2.4228297870618733e-7	2.9547263345990915e-7	-7.310311654363827e-11	-2.219445589627435e-9	-1.1687881727073948e-8	-2.1733899908797728e-8	-8.8595107575943e-9	3.3352855121349286e-8	8.417519536560183e-8	1.2773769878960837e-7	1.6695407900654666e-7	2.1699038419535942e-7	-4.0036482023834765e-12	-2.484425699105394e-10	-2.4939844136879075e-9	-9.584541194652814e-9	-1.656267748308372e-8	-6.734463457930316e-9	2.750881904132615e-8	7.116433852211729e-8	1.1113599105853621e-7	1.5855079697330108e-7	-1.24155792104783e-13	-1.5764281914759218e-11	-2.8697022535898223e-10	-2.0224937604279397e-9	-7.1367345285846325e-9	-1.261388934537289e-8	-5.036342197313901e-9	2.5194699217999326e-8	6.594940388974956e-8	1.1219032666776206e-7	-1.6402989680741194e-15	-4.43042830005479e-13	-1.479613319724851e-11	-1.8667069557679235e-10	-1.2327613825978357e-9	-4.660392828523228e-9	-9.285196411164883e-9	-3.4556763709418026e-9	2.6300469254042116e-8	7.29549001985773e-8	-5.06169155444854e-18	-3.1294993400352165e-15	-2.055398242960971e-13	-4.848514254061695e-12	-6.08378554612235e-11	-4.709408199852681e-10	-2.2880640229528675e-9	-6.028891705939706e-9	-1.4805421665189616e-9	3.6177046326149436e-8	-6.137311442000974e-22	-1.010796257328938e-18	-1.5497732271465906e-16	-8.083328343715015e-15	-2.238198529572596e-13	-4.046404495214474e-12	-5.22104802580118e-11	-4.747424473695119e-10	-2.4221015078916693e-9	4.709629843574189e-9
20.	4.204516151010221e-8	4.338167549988116e-7	6.242680991498611e-7	7.244204594843938e-7	7.921243714888832e-7	8.453171560915393e-7	8.908149640859682e-7	9.32651661094894e-7	9.750038949625188e-7	1.030647970713676e-6	-4.328782430504246e-8	-2.621155062687787e-8	1.3417803286784413e-7	2.690478194738685e-7	3.561677671512207e-7	4.1881910099955045e-7	4.708625264461316e-7	5.18499552344837e-7	5.667065615329815e-7	6.300420344494095e-7	-8.012706867488853e-9	-4.1978696558219684e-8	-1.8656353711905664e-8	7.378429596922517e-8	1.6779684212768666e-7	2.372955532639521e-7	2.9044322535677245e-7	3.373275293858864e-7	3.844911653445046e-7	4.464345966235727e-7	-9.545217451143405e-10	-1.3448983379186882e-8	-3.213404540532406e-8	-1.3793225880585977e-8	4.903383185895602e-8	1.2005529742483318e-7	1.7736390529144675e-7	2.2419028734768241e-7	2.6966357570155477e-7	3.2913670033598434e-7	-8.038383402971087e-11	-2.4638249828804043e-9	-1.3090005474734342e-8	-2.4602626328689397e-8	-1.0452860733783745e-8	3.711434560202714e-8	9.482030916335083e-8	1.4440083508088194e-7	1.8899679177690184e-7	2.4586438604830675e-7	-4.4662745196057015e-12	-2.7921490391987804e-10	-2.8205350191094263e-9	-1.0910454032993158e-8	-1.9011432584616286e-8	-7.998228208613941e-9	3.116080813637758e-8	8.139642277915188e-8	1.2746350058210375e-7	1.820600198285433e-7	-1.40243974576533e-13	-1.7913733561919047e-11	-3.2766565353546364e-10	-2.32015595905426e-9	-8.229300472382618e-9	-1.4643692906518216e-8	-6.023782190148727e-9	2.898722858514454e-8	7.643058553311223e-8	1.3028474370017575e-7	-1.8745785072705228e-15	-5.087052902746965e-13	-1.7053306748490912e-11	-2.159104836210262e-10	-1.431163092342512e-9	-5.433427934128022e-9	-1.0887300899987439e-8	-4.17103682331162e-9	3.0697756779442083e-8	8.558074613330899e-8	-5.853299217597055e-18	-3.63129647819231e-15	-2.3918277788086084e-13	-5.657244151131377e-12	-7.117942698125109e-11	-5.526639299375859e-10	-2.6948897142107337e-9	-7.137015247691164e-9	-1.831571408865699e-9	4.2834295286878025e-8	-7.194721503006844e-22	-1.1873909020048673e-18	-1.823946311707695e-16	-9.530701907269272e-15	-2.6438584555356395e-13	-4.789385955348936e-12	-6.194283344051207e-11	-5.649736419609902e-10	-2.8966584226654214e-9	5.609673815371988e-9
25.	2.668713170983347e-8	3.6482948325125056e-7	5.381936842713678e-7	6.293979363993237e-7	6.907554882758502e-7	7.388967820377813e-7	7.800661238987026e-7	8.179221231679061e-7	8.562445845535909e-7	9.065941715689714e-7	-4.160928631234992e-8	-2.872347437227436e-8	1.2716193944506528e-7	2.609853954241733e-7	3.4774448920329494e-7	4.0999857788965646e-7	4.6163879489550543e-7	5.088926650782053e-7	5.567106132646329e-7	6.195348699012238e-7	-7.968076549959234e-9	-4.267410067505299e-8	-2.0335712514821796e-8	7.346868682976083e-8	1.7010900954628136e-7	2.4182829318784273e-7	2.9661299843220727e-7	3.448833590431686e-7	3.934282730857358e-7	4.571846231632009e-7	-9.710345426567493e-10	-1.3857674315190071e-8	-3.3594248770395e-8	-1.51776490004393e-8	5.0225191649591406e-8	1.2489267037767116e-7	1.853374454967675e-7	2.3468506058162268e-7	2.8256219728542394e-7	3.4516965579075225e-7	-8.318992351966366e-11	-2.5742942885953155e-9	-1.3800159029658105e-8	-2.6219585217795093e-8	-1.1596148620195834e-8	3.886512194762971e-8	1.0055967191122679e-7	1.5369709835924334e-7	2.0145154281253555e-7	2.6231111524741117e-7	-4.689733041464615e-12	-2.9541165069660615e-10	-3.0032559764673317e-9	-1.169432548576921e-8	-2.0548728338348496e-8	-8.935934666449044e-9	3.323041886017782e-8	8.76684257387094e-8	1.376675995271944e-7	1.9687109675802664e-7	-1.4914701932982086e-13	-1.9166899104614724e-11	-3.5229366700986564e-10	-2.506376919328197e-9	-8.93593197320263e-9	-1.6009202588937174e-8	-6.778863418696578e-9	3.1404647240282983e-8	8.341745184958856e-8	1.424859312097552e-7	-2.0172824542950387e-15	-5.500333258561473e-13	-1.850901974149723e-11	-2.351764760986055e-10	-1.5646844823683086e-9	-5.96559944695604e-9	-1.2021820638036275e-8	-4.736643417344095e-9	3.374235647707211e-8	9.454367311470571e-8	-6.374217596942584e-18	-3.9680305657496914e-15	-2.621156188137245e-13	-6.216287069387709e-12	-7.842673113941066e-11	-6.107760320647068e-10	-2.9890523916061997e-9	-7.956095920371732e-9	-2.129144200765166e-9	4.775972009788281e-8	-7.942851984900261e-22	-1.3135536963540177e-18	-2.0215146906318364e-16	-1.0582222260762664e-14	-2.940971032499487e-13	-5.33823687115546e-12	-6.920294868700281e-11	-6.331224480354306e-10	-3.261893803614961e-9	6.291679247876403e-9
30.	1.8521575608755236e-8	3.095836102350432e-7	4.64071311987762e-7	5.455455228859022e-7	6.001648562259889e-7	6.429674513660232e-7	6.795646404979765e-7	7.132159818500385e-7	7.47281956272948e-7	7.92039191609587e-7	-3.84584114158181e-8	-2.9501248295155877e-8	1.1584096283717319e-7	2.4344106134592164e-7	3.2654879688080706e-7	3.8603890548455735e-7	4.353102776965779e-7	4.803820910945031e-7	5.259905732048407e-7	5.859119246625196e-7	-7.60268044303129e-9	-4.172187138582163e-8	-2.138644456855731e-8	7.02268644052954e-8	1.659013234847169e-7	2.371600481407394e-7	2.915317149971387e-7	3.3938123427974845e-7	3.8748979735532973e-7	4.506718200171453e-7	-9.50535457021663e-10	-1.3757007002051748e-8	-3.38308865164382e-8	-1.5998095294501503e-8	4.957164169032414e-8	1.251242296139447e-7	1.8648532857264876e-7	2.3654524884382084e-7	2.850690326898234e-7	3.485122331224575e-7	-8.29515873319275e-11	-2.5902592977351608e-9	-1.399998255019329e-8	-2.6868350519068608e-8	-1.2333354788792332e-8	3.9151673572784554e-8	1.0259702784218574e-7	1.5738262113685234e-7	2.0657695576152042e-7	2.692339715684565e-7	-4.740150741635704e-12	-3.0068436198851197e-10	-3.0756390518555523e-9	-1.2055122984138936e-8	-2.1362720664977364e-8	-9.595821981841142e-9	3.4076095175386444e-8	9.082676028480534e-8	1.4303505494438516e-7	2.047979271322972e-7	-1.525564037038162e-13	-1.9723739449714777e-11	-3.643154087964912e-10	-2.6044308516459944e-9	-9.334614670272919e-9	-1.6838818781623876e-8	-7.336157257528883e-9	3.27282902678819e-8	8.759465954695034e-8	1.4993406522189423e-7	-2.0880106902828682e-15	-5.72080310157126e-13	-1.9325769279834943e-11	-2.4644578452930275e-10	-1.6458830014896932e-9	-6.302248453649267e-9	-1.2773419129346751e-8	-5.17317894500671e-9	3.568693712380693e-8	1.0050591227957773e-7	-6.678171380272813e-18	-4.17175351360808e-15	-2.7637972548326666e-13	-6.572405184083181e-12	-8.3148808798043e-11	-6.495304547827754e-10	-3.1903366125934143e-9	-8.535037651246691e-9	-2.3782764295210353e-9	5.124617046250762e-8	-8.437819594551944e-22	-1.3983059775979283e-18	-2.1560028118801808e-16	-1.1306878088994093e-14	-3.1482022530988354e-13	-5.725851309813218e-12	-7.440236538546508e-11	-6.827782091229174e-10	-3.5348926468458615e-9	6.790772498711502e-9
35.	1.364012060383846e-8	2.667271214054822e-7	4.0363224668755746e-7	4.7606965297382204e-7	5.245198974151058e-7	5.624533485678468e-7	5.948823769591025e-7	6.247006783986605e-7	6.548863678303255e-7	6.945455263265586e-7	-3.483593817423734e-8	-2.8902846410470967e-8	1.0366526930827027e-7	2.2222456827467522e-7	2.998226889312125e-7	3.5527271964136323e-7	4.0112959679203034e-7	4.430637987549241e-7	4.85495958642076e-7	5.412441327214446e-7	-7.067393822359218e-9	-3.957501614353717e-8	-2.1615756131363846e-8	6.515003073327543e-8	1.5714356548020768e-7	2.2598246987474016e-7	2.784417513882422e-7	3.245448746147372e-7	3.708836555897446e-7	4.3174008669411075e-7	-9.029997685738688e-10	-1.3254933187739649e-8	-3.313393654528485e-8	-1.649775374855449e-8	4.743947209926014e-8	1.219127081244293e-7	1.8258630272051307e-7	2.3204024157504308e-7	2.7993210606252364e-7	3.425392594907734e-7	-8.032892053090298e-11	-2.5357464106008785e-9	-1.3840896699048138e-8	-2.6857885321959282e-8	-1.2775688824790862e-8	3.8452440399509284e-8	1.0203051319894875e-7	1.5706096500898415e-7	2.0643985690466358e-7	2.692960167233746e-7	-4.666097809905074e-12	-2.983668523399715e-10	-3.071133961160923e-9	-1.2110447993787683e-8	-2.1619637389162423e-8	-9.989267950689522e-9	3.405052591598735e-8	9.16415587727491e-8	1.4471417037399063e-7	2.0744440231649557e-7	-1.5215963029815053e-13	-1.9782461260684252e-11	-3.669820454810003e-10	-2.634723855358011e-9	-9.489537995557156e-9	-1.7233685481117083e-8	-7.717967463752206e-9	3.319164702868405e-8	8.952166314507824e-8	1.5355735719416086e-7	-2.1049237752898894e-15	-5.792142499096474e-13	-1.963848639375963e-11	-2.513245467525145e-10	-1.684859185575441e-9	-6.4797462555361545e-9	-1.3210059223785962e-8	-5.497495950682179e-9	3.673435051902038e-8	1.0400057997427659e-7	-6.808766016421098e-18	-4.2682625897054464e-15	-2.8361448511886555e-13	-6.763138450835697e-12	-8.580271807818137e-11	-6.72348197069479e-10	-3.3146978307251005e-9	-8.913491677778221e-9	-2.5835742369245684e-9	5.353125383975496e-8	-8.72473057623745e-22	-1.4489078220372376e-18	-2.238310329061653e-16	-1.176036228928442e-14	-3.280650481924593e-13	-5.9789005337408274e-12	-7.787581992561524e-11	-7.168731985851355e-10	-3.729701924781579e-9	7.135716649494239e-9
40.	1.0099630356003364e-8	2.3358133564008422e-7	3.5530600747198194e-7	4.1993320718744523e-7	4.631100648875103e-7	4.968932547530931e-7	5.257709715801882e-7	5.52323584216093e-7	5.79203335614651e-7	6.145190214751461e-7	-3.126819078190417e-8	-2.7413294612433405e-8	9.215529761748789e-8	2.0082017615055558e-7	2.722358521940228e-7	3.231995672714098e-7	3.652943301705247e-7	4.0377656862393545e-7	4.427145656719115e-7	4.93871985725707e-7	-6.476161858756288e-9	-3.6895629600436476e-8	-2.1167617005326552e-8	5.9590530522340545e-8	1.462810173279799e-7	2.1144933929868186e-7	2.6107493854491595e-7	3.046320738178559e-7	3.4839804190461436e-7	4.0587427973340647e-7	-8.428651017007931e-10	-1.2513075244432563e-8	-3.170548869268588e-8	-1.6507130197074294e-8	4.441043923805128e-8	1.1617857165476687e-7	1.7488579445675488e-7	2.2269700557134044e-7	2.689471141932149e-7	3.293971464439716e-7	-7.614218227235971e-11	-2.4265283252670923e-9	-1.337233140563806e-8	-2.626361176124756e-8	-1.3007915198086496e-8	3.6839231639922077e-8	9.927832902908162e-8	1.5346861167427084e-7	2.020436782678507e-7	2.6383776284305893e-7	-4.488451728071343e-12	-2.894548101898985e-10	-3.001320035743379e-9	-1.1925656115410939e-8	-2.148992106493025e-8	-1.0250406102517828e-8	3.335729308104807e-8	9.073509881292524e-8	1.4368428796905928e-7	2.062174802338535e-7	-1.4848808650718514e-13	-1.9441683877294408e-11	-3.6266442315380296e-10	-2.6171899671925153e-9	-9.475350077055308e-9	-1.7312415817813765e-8	-7.934499577290993e-9	3.306148632501e-8	8.978418219987574e-8	1.5430543848227537e-7	-2.0822767931764945e-15	-5.759113130484232e-13	-1.9599582816440196e-11	-2.516368926524782e-10	-1.6923681385371226e-9	-6.5325427328536985e-9	-1.3387908009256268e-8	-5.7143080164919495e-9	3.707000517401474e-8	1.0549624032580641e-7	-6.816041936545592e-18	-4.285339152233098e-15	-2.854519021012126e-13	-6.823317150623187e-12	-8.67898947205005e-11	-6.82130186981079e-10	-3.3754555937746715e-9	-9.124358921390884e-9	-2.748540263961259e-9	5.48129138454273e-8	-8.842091838346302e-22	-1.4714714977197252e-18	-2.277559894004296e-16	-1.1989155634140191e-14	-3.350894507375529e-13	-6.1195737968810155e-12	-7.990145424284706e-11	-7.378422587512939e-10	-3.858009890537086e-9	7.350374426377427e-9
45.	6.910892820762537e-9	2.071371067664341e-7	3.163384949274963e-7	3.744443514053192e-7	4.1325822763551173e-7	4.4361690168346965e-7	4.695653337003155e-7	4.93424331015215e-7	5.17577272110375e-7	5.493103665382977e-7	-2.80902633322846e-8	-2.5311280605099407e-8	8.223961601649987e-8	1.811626921859916e-7	2.464435076148853e-7	2.9298284548795484e-7	3.313829905789942e-7	3.664786532928117e-7	4.019890006393827e-7	4.486430669522499e-7	-5.889421305711515e-9	-3.402323542878964e-8	-2.035936290911855e-8	5.404797563343927e-8	1.348174202669853e-7	1.9575835836355644e-7	2.4213741789813203e-7	2.828020623364223e-7	3.236502169819384e-7	3.772934085222472e-7	-7.783871917056338e-10	-1.1676155387285756e-8	-2.9930793395252204e-8	-1.613237983761366e-8	4.114903532937043e-8	1.0925311037329522e-7	1.651740395960689e-7	2.1069415874252132e-7	2.5468453644534885e-7	3.121705620786894e-7	-7.130688243892706e-11	-2.2902896526058413e-9	-1.271717645369291e-8	-2.52229758733606e-8	-1.292670736682217e-8	3.473183962274571e-8	9.49734106897795e-8	1.4742152881948134e-7	1.9439442517558463e-7	2.5410775996130914e-7	-4.253769092692617e-12	-2.7618986137384975e-10	-2.8818651088493033e-9	-1.1532840257525849e-8	-2.0979288974655846e-8	-1.034400451412069e-8	3.204974505166391e-8	8.82655482714805e-8	1.40245440099886e-7	2.0156663722465074e-7	-1.4238905846917627e-13	-1.876598345927454e-11	-3.5200535513817323e-10	-2.554287630406502e-9	-9.303723017842722e-9	-1.7133837409824743e-8	-8.091331790975111e-9	3.238164540177666e-8	8.870135106030913e-8	1.527832728274178e-7	-2.023119759958416e-15	-5.626646372236684e-13	-1.9234717633757228e-11	-2.4799624172178867e-10	-1.6752324408356149e-9	-6.497526477905816e-9	-1.3392172747461743e-8	-5.846497853750191e-9	3.6912256905381343e-8	1.0552893236503405e-7	-6.715569729862452e-18	-4.2394141181709235e-15	-2.833342580794642e-13	-6.792353766339528e-12	-8.662831106729797e-11	-6.826789615094655e-10	-3.388133283690393e-9	-9.197661715850705e-9	-2.866236281209098e-9	5.528317203622754e-8	-8.84142220013377e-22	-1.4738652918535846e-18	-2.2846583765258123e-16	-1.204413158180216e-14	-3.3715484208316483e-13	-6.168508270997094e-12	-8.072468306733306e-11	-7.477836120648652e-10	-3.92982163179367e-9	7.455284242180076e-9
50.	3.989904397930803e-9	1.852410096688331e-7	2.843010372595648e-7	3.3702770014974565e-7	3.7225886496005894e-7	3.998120982356242e-7	4.233616331972839e-7	4.450147886574476e-7	4.6693470624065036e-7	4.957339645777102e-7	-2.544956595235276e-8	-2.298974299364186e-8	7.429063269304616e-8	1.643140685037607e-7	2.2392365614580956e-7	2.6640809716064895e-7	3.014357072045644e-7	3.334423101850904e-7	3.6582636658807845e-7	4.083730246770035e-7	-5.353114021338805e-9	-3.118560405796762e-8	-1.9236854446230322e-8	4.889403574733667e-8	1.2359591622137662e-7	1.801670497539924e-7	2.2319605722278547e-7	2.608868741760323e-7	2.9873846196732006e-7	3.4844547228536716e-7	-7.144480021899856e-10	-1.080789716662679e-8	-2.8004523202018303e-8	-1.5581664231766878e-8	3.7845168863687666e-8	1.0189943736435477e-7	1.5465147757113447e-7	1.9757375062370944e-7	2.390199126381528e-7	2.9317246455477584e-7	-6.622449014678732e-11	-2.143095734190115e-9	-1.198503638692472e-8	-2.3972604109510473e-8	-1.2617107994350968e-8	3.2499520281243604e-8	8.993188933139602e-8	1.400788893346846e-7	1.8496449261589213e-7	2.4198796174576426e-7	-3.996116225229288e-12	-2.610433899182706e-10	-2.7378698809079644e-9	-1.1016934057080577e-8	-2.01902868144441e-8	-1.023284558997817e-8	3.041885489745938e-8	8.473053194007626e-8	1.350556751827512e-7	1.9436578178102794e-7	-1.351353108826779e-13	-1.790025605445268e-11	-3.3722507032455485e-10	-2.45835590217106e-9	-9.004349267630723e-9	-1.671162091409251e-8	-8.123633751911204e-9	3.124959038043166e-8	8.63874116509987e-8	1.4916923037490834e-7	-1.9396517808792963e-15	-5.420351088961684e-13	-1.8607895108399477e-11	-2.4091112212023837e-10	-1.6345530622757938e-9	-6.3712891077074985e-9	-1.3218937181462089e-8	-5.942824293460062e-9	3.624389152898196e-8	1.0425678511687865e-7	-6.521869603095768e-18	-4.133943982393118e-15	-2.772227839025778e-13	-6.666680399158713e-12	-8.529941746472593e-11	-6.74660400193098e-10	-3.3631167914227914e-9	-9.181183977575268e-9	-2.9552230241335694e-9	5.5169958418784594e-8	-8.72615915242954e-22	-1.458326609439871e-18	-2.2657882157946316e-16	-1.1970641882878012e-14	-3.357903715961993e-13	-6.15588526548439e-12	-8.072424278002686e-11	-7.495307796728871e-10	-3.9546711400222e-9	7.473600174865786e-9
55.	1.3749642258789612e-9	1.6633517566534302e-7	2.5713486303671e-7	3.0539200056911393e-7	3.376451204615013e-7	3.628696024677418e-7	3.8442842977527626e-7	4.0425113032122857e-7	4.243180375585415e-7	4.5068273595174875e-7	-2.334759131086534e-8	-2.0771243581626935e-8	6.816418132304558e-8	1.5050760218044732e-7	2.0514722895381567e-7	2.441008599366364e-7	2.762054814088581e-7	3.0553708491067607e-7	3.3521408694982494e-7	3.742041496504136e-7	-4.891126151122583e-9	-2.8573015325298092e-8	-1.7917925205850713e-8	4.4446382066705296e-8	1.1329938408616054e-7	1.6561405538149065e-7	2.0539908274899394e-7	2.4021995669778655e-7	2.751815933995074e-7	3.210926850818261e-7	-6.552739975656481e-10	-9.965359826826717e-9	-2.602715684359641e-8	-1.4862050089900883e-8	3.4656063332327136e-8	9.450899162855461e-8	1.4395095906896185e-7	1.841609360607936e-7	2.2295780853928954e-7	2.73641563714942e-7	-6.12067161978656e-11	-1.9926538733408863e-9	-1.1215918022491131e-8	-2.2622371076307648e-8	-1.2214106366625529e-8	3.021385895457203e-8	8.458376114704932e-8	1.3216439623254959e-7	1.747291415532968e-7	2.2877563430467937e-7	-3.728482331374182e-12	-2.4500857771889943e-10	-2.5830016376535477e-9	-1.0449351903610094e-8	-1.9276521233532463e-8	-9.985849307841678e-9	2.8703158783106666e-8	8.06857684635665e-8	1.2894512328037486e-7	1.8577768883121558e-7	-1.2736221774268768e-13	-1.6954445599778585e-11	-3.206629746557275e-10	-2.3465802018713005e-9	-8.631653612788571e-9	-1.611388405922084e-8	-8.018577555465585e-9	2.986016046449203e-8	8.323715284533788e-8	1.440607766821608e-7	-1.8456751921879654e-15	-5.177688082603397e-13	-1.7831521786602354e-11	-2.3158432924686102e-10	-1.5768834833795329e-9	-6.17451317801669e-9	-1.2896084624886153e-8	-5.962741850333238e-9	3.517517951728691e-8	1.018107198787975e-7	-6.2677784080787946e-18	-3.985823755949255e-15	-2.681046768958127e-13	-6.4672827124044e-12	-8.301958465768405e-11	-6.590318717041621e-10	-3.2992024832638734e-9	-9.058856151717336e-9	-3.03684730464277e-9	5.446505683828779e-8	-8.513199092120043e-22	-1.426247500966976e-18	-2.220782467281238e-16	-1.1757240221781434e-14	-3.305019477828425e-13	-6.073157143420811e-12	-7.98688679736873e-11	-7.444679550185724e-10	-3.94938964935292e-9	7.433530539837902e-9
