10.	1.5686547292588422e-8	2.2069690624098728e-8	2.427802152965148e-8	2.5609237296518942e-8	2.6565397309419452e-8	2.732536214066685e-8	2.7976256220254044e-8	2.8574819963798842e-8	2.9180762778311575e-8	2.997688217481552e-8	3.410963400018385e-8	3.906509611006051e-8	4.214335567780021e-8	4.436681483490142e-8	4.613550576061457e-8	4.7650467190438225e-8	4.904235436105663e-8	5.0452781324463556e-8	5.230565937676291e-8	4.586885676325151e-8	5.0293700061146935e-8	5.3540975928738346e-8	5.6134199005526426e-8	5.835685166439107e-8	6.040092108952828e-8	6.247029424964321e-8	6.518911159200555e-8	5.5840118107204394e-8	6.001241384846444e-8	6.337797165049994e-8	6.627093474380234e-8	6.893426861687076e-8	7.162928970265593e-8	7.517009378855106e-8	6.501853859811823e-8	6.912743696164155e-8	7.26843278955856e-8	7.596417548013068e-8	7.92857739430522e-8	8.36499976938732e-8	7.394363336996417e-8	7.816989833753078e-8	8.208953911127302e-8	8.606496668977436e-8	9.128907624740489e-8	8.307031818872562e-8	8.766805479865823e-8	9.23536039211731e-8	9.851669310693401e-8	9.299453898642752e-8	9.848489559593403e-8	1.0573473793637725e-7	1.0493560348223965e-7	1.135681949768719e-7	1.2447685419347538e-7
15.	1.1012525630671986e-8	1.6050363791051423e-8	1.786207885056423e-8	1.8956654475152037e-8	1.9743151427059654e-8	2.0368323433358303e-8	2.0903771736885173e-8	2.139617361814543e-8	2.1894240136896583e-8	2.2549163243262312e-8	2.61278177682448e-8	3.053245036893297e-8	3.3294055866369354e-8	3.529173873417903e-8	3.6881293435818696e-8	3.8242910215252464e-8	3.949507909183685e-8	4.0762850237664333e-8	4.242828446748062e-8	3.68089978666873e-8	4.096544570070585e-8	4.402977684511402e-8	4.647987860118391e-8	4.858050211726123e-8	5.051238085581486e-8	5.246796188235625e-8	5.503741943619876e-8	4.6316137573355235e-8	5.038078211538691e-8	5.367038547312783e-8	5.6500591460480154e-8	5.91052616372037e-8	6.174215044231423e-8	6.520671103881798e-8	5.536517473913387e-8	5.948154270828682e-8	6.305457566641909e-8	6.6351329023239e-8	6.969038246024714e-8	7.407783038542802e-8	6.439952112744241e-8	6.873591792868714e-8	7.276489357305884e-8	7.685309350060853e-8	8.222570380464217e-8	7.385112983714521e-8	7.866940601431891e-8	8.358572776275062e-8	9.005391243819023e-8	8.434472611194251e-8	9.021399227454596e-8	9.797204811520126e-8	9.723381427248873e-8	1.0665883432721522e-7	1.1886855457868644e-7
20.	8.172077944288437e-9	1.2156149594022086e-8	1.36205002413916e-8	1.4507105744544494e-8	1.514435330756074e-8	1.56505143190039e-8	1.608433365628176e-8	1.648328374852732e-8	1.6887135445363456e-8	1.7417731770188634e-8	2.0387366434106917e-8	2.4127085613366477e-8	2.6490480943947183e-8	2.8202976028293197e-8	2.956585513784676e-8	3.07332991019093e-8	3.180691045210269e-8	3.2893757731913045e-8	3.43217020407297e-8	2.960239743033456e-8	3.3282942378305503e-8	3.600963112527975e-8	3.8192178998818696e-8	4.006368659482805e-8	4.178498414422076e-8	4.352750883480245e-8	4.581691867032497e-8	3.812380830014008e-8	4.18337908729135e-8	4.484599859811855e-8	4.743966203645752e-8	4.98270554238467e-8	5.224404134471511e-8	5.5419628682121075e-8	4.6465164257519124e-8	5.031333439076149e-8	5.366125482796003e-8	5.6752229417144484e-8	5.988254334564854e-8	6.399616568546177e-8	5.498381188254868e-8	5.912081656992591e-8	6.297063566297748e-8	6.687904220469485e-8	7.201599234666085e-8	6.407195213514501e-8	6.875321421974499e-8	7.353697345759725e-8	7.983143092111694e-8	7.434782701030502e-8	8.015213338905528e-8	8.783140398181419e-8	8.720241015134289e-8	9.669798468212191e-8	1.0927119023755216e-7
25.	6.321098237044744e-9	9.55063028848483e-9	1.0751962690099956e-8	1.147998315359869e-8	1.2003482371611646e-8	1.241962053875201e-8	1.2776042864792338e-8	1.310380060922369e-8	1.3435598359404427e-8	1.3871527835949865e-8	1.6340433760852323e-8	1.94932746611835e-8	2.149743856162801e-8	2.2951568252126124e-8	2.4109078254309383e-8	2.5100626334074963e-8	2.601247734353393e-8	2.693556822980899e-8	2.8148359444664283e-8	2.4189376627653852e-8	2.738371709589628e-8	2.975986629038042e-8	3.166384763589235e-8	3.329681400014448e-8	3.479875241529572e-8	3.6319261773989904e-8	3.831690711967166e-8	3.165184030445575e-8	3.494870413283047e-8	3.763323960383964e-8	3.9946646577953437e-8	4.2076345309527895e-8	4.4232496729440926e-8	4.706543135902083e-8	3.9123118089137615e-8	4.261101523031132e-8	4.5651936109901754e-8	4.8461108000592785e-8	5.130687971862753e-8	5.504588772999839e-8	4.6899514255744354e-8	5.071449233164949e-8	5.427103682012563e-8	5.7882474958563834e-8	6.262904116886495e-8	5.53376358681032e-8	5.972356006927066e-8	6.421079481239708e-8	7.011716094858692e-8	6.503044457129258e-8	7.055384294827671e-8	7.786830262829196e-8	7.735487818303322e-8	8.654286809981597e-8	9.894866636597749e-8
30.	5.0176241702768065e-9	7.69869443789215e-9	8.704050360688945e-9	9.314091589065444e-9	9.752903245824006e-9	1.01016003225005e-8	1.0400447463022953e-8	1.0675095891380692e-8	1.0953129717556272e-8	1.1318176969967566e-8	1.340608421622858e-8	1.6088474712048186e-8	1.779996619025926e-8	1.9042774325471313e-8	2.003231690624624e-8	2.0880000003421714e-8	2.1659557942349387e-8	2.2448718773176334e-8	2.3485491492111497e-8	2.0123663881137876e-8	2.2890276808518793e-8	2.4954476953161192e-8	2.6610021520648966e-8	2.8030089975238662e-8	2.933627718373189e-8	3.0658579737266065e-8	3.239587502928673e-8	2.6625665775196886e-8	2.9528734244968927e-8	3.189818512225444e-8	3.394178578035373e-8	3.58233525455786e-8	3.772871188260612e-8	4.02313922396572e-8	3.324282519697131e-8	3.636187118953756e-8	3.908630642422484e-8	4.16044789761645e-8	4.415568130434586e-8	4.7507997664316565e-8	4.023630911145439e-8	4.369660418992215e-8	4.692735257217866e-8	5.0209590352138244e-8	5.452328239960603e-8	4.793354303601533e-8	5.19660645686429e-8	5.6096618556729114e-8	6.153480452724706e-8	5.689765393292336e-8	6.204501659795856e-8	6.886797052592269e-8	6.845915177822642e-8	7.714984158454027e-8	8.909088915738859e-8
35.	4.076018463418904e-9	6.341698974036962e-9	7.198974339519435e-9	7.719377230003269e-9	8.093347380657324e-9	8.390740605927368e-9	8.645466834007521e-9	8.87971979877747e-9	9.116896470989244e-9	9.428462674825112e-9	1.122799325836387e-8	1.3544048319039207e-8	1.5024613761345492e-8	1.6100532590243146e-8	1.69572184527588e-8	1.76911029158915e-8	1.836600345672995e-8	1.9049360596337615e-8	1.9946866678283765e-8	1.704719388448783e-8	1.946002780693108e-8	2.1264084900015607e-8	2.271184569753704e-8	2.3953904329025587e-8	2.5096370075890397e-8	2.6252934923305275e-8	2.7772476237449357e-8	2.2738873525916717e-8	2.5298047688260037e-8	2.7390971801137418e-8	2.9196916855076603e-8	3.0859967117492396e-8	3.254352263746924e-8	3.475585275501218e-8	2.8595682561732644e-8	3.1374858086026693e-8	3.380642074877541e-8	3.605515677061295e-8	3.8333698867748475e-8	4.132713116030524e-8	3.485342314136026e-8	3.797069283818757e-8	4.088514222165888e-8	4.384696385362936e-8	4.77395478427727e-8	4.1817949261145986e-8	4.549335993185997e-8	4.925792709300761e-8	5.421800712097617e-8	5.0022718666609305e-8	5.476613584314738e-8	6.10586319375551e-8	6.073743199205058e-8	6.885091640192726e-8	8.017199443438179e-8
40.	3.3639573792068673e-9	5.300379221482827e-9	6.0406528168674265e-9	6.490201322690902e-9	6.813423127491778e-9	7.070361641812966e-9	7.290211758979436e-9	7.492578864029642e-9	7.697441477583744e-9	7.966634420885042e-9	9.540023873556292e-9	1.1568805787597405e-8	1.2866871819414117e-8	1.3810481387987998e-8	1.4561887926393585e-8	1.5205592045421943e-8	1.5797554691484267e-8	1.6396810194482226e-8	1.7184147149399616e-8	1.4649187303785874e-8	1.6775416493439738e-8	1.836716311897326e-8	1.964506990239653e-8	2.0741555442982097e-8	2.1750115951480434e-8	2.2771123611731832e-8	2.4112771053193112e-8	1.9675574281419093e-8	2.1945341932743197e-8	2.3804108861637748e-8	2.5408580425369704e-8	2.6886112628201727e-8	2.8382211914942126e-8	3.034780243803642e-8	2.488342823717442e-8	2.736614213911215e-8	2.954112262972596e-8	3.1553301749246744e-8	3.359217085404288e-8	3.627104421882628e-8	3.049003675210058e-8	3.3296467219050306e-8	3.5923254780806e-8	3.859344025577939e-8	4.210332655502874e-8	3.678085783855857e-8	4.011559837850878e-8	4.353861121667745e-8	4.804704980697431e-8	4.425807255795906e-8	4.860452189493556e-8	5.437574433922055e-8	5.4123235108375834e-8	6.164128117459595e-8	7.227431365558172e-8
45.	2.8133487575941434e-9	4.480751867894026e-9	5.125228163497404e-9	5.516886518382712e-9	5.7985146589266034e-9	6.022366332842793e-9	6.214092232830014e-9	6.390405183368797e-9	6.568891539945598e-9	6.8033949708912255e-9	8.190886666100283e-9	9.98784181320257e-9	1.1138446118143676e-8	1.1975100614047545e-8	1.2641374516761355e-8	1.3212132269376485e-8	1.3737011399001463e-8	1.4268367095288246e-8	1.496648443829756e-8	1.2728700283988873e-8	1.4622780465522534e-8	1.6041575547601436e-8	1.718094152558557e-8	1.81585929955936e-8	1.9057866218287952e-8	1.9968421731106525e-8	2.1164491734611877e-8	1.7212586277245594e-8	1.9242361454281584e-8	2.0905752588880657e-8	2.2342136963412683e-8	2.36650096263323e-8	2.5004392074904215e-8	2.6764162722908037e-8	2.187670183839038e-8	2.410665803076905e-8	2.6062345160987905e-8	2.7871930823391997e-8	2.9705598947940623e-8	3.211477606425455e-8	2.692265586659442e-8	2.9457049472025875e-8	3.183126175473257e-8	3.424525941532019e-8	3.7418613216310726e-8	3.261706763863207e-8	3.564676631126648e-8	3.8759300786096715e-8	4.285955122193787e-8	3.94297214701472e-8	4.3406939097331983e-8	4.8691355031451855e-8	4.84904228531532e-8	5.54318557859619e-8	6.536211441387225e-8
50.	2.3849949994658047e-9	3.82967613951275e-9	4.394298749709309e-9	4.737589885696251e-9	4.984434691532806e-9	5.180662047321173e-9	5.34872668182454e-9	5.503280738903062e-9	5.659739913148856e-9	5.865381984602176e-9	7.094185190490022e-9	8.697860278653358e-9	9.726036548406147e-9	1.0473740775340553e-8	1.1069198404541634e-8	1.1579292610307165e-8	1.204840724509329e-8	1.2523304474817846e-8	1.3147240003736696e-8	1.1159078892006063e-8	1.2862245348727827e-8	1.4138447484809903e-8	1.5163434183028713e-8	1.6042984685523155e-8	1.6852032979126582e-8	1.7671061003702582e-8	1.8747120230726975e-8	1.5196627446789098e-8	1.7027352953215575e-8	1.8529605696392298e-8	1.982471102312187e-8	2.1018674308876907e-8	2.222753377904824e-8	2.3815807307228853e-8	1.9407690463893e-8	2.142481606616773e-8	2.3194422624082223e-8	2.4832395427859073e-8	2.6492196366398285e-8	2.8673110104327354e-8	2.3976998011412005e-8	2.6277026538059243e-8	2.8433076772497838e-8	3.062561950416229e-8	3.350791343927609e-8	2.915277496833098e-8	3.191426948386301e-8	3.4752877784784235e-8	3.8492748126442847e-8	3.5374896055281285e-8	3.901926527442448e-8	4.386342479316311e-8	4.370018572850954e-8	5.010438594191526e-8	5.935100238833018e-8
55.	2.04267955550495e-9	3.3021812470584426e-9	3.798960508520055e-9	4.101135916127268e-9	4.3185290264149715e-9	4.491328360676302e-9	4.639334727991071e-9	4.7754433041247e-9	4.913229632574291e-9	5.094259545658659e-9	6.184997758304805e-9	7.622375232424778e-9	8.545836917104494e-9	9.21749594444903e-9	9.752427179119936e-9	1.0210678449526704e-8	1.0632107274457884e-8	1.1058730797695662e-8	1.1619249424207882e-8	9.845707196647366e-9	1.1387988105962694e-8	1.2544060527788761e-8	1.3472673107241913e-8	1.426953587129758e-8	1.5002518207733617e-8	1.5744546159548688e-8	1.6719472450128827e-8	1.3508695456772293e-8	1.517262508306054e-8	1.6537141738969843e-8	1.7715766843098118e-8	1.8801232142586663e-8	1.9900590397715472e-8	2.1344679950481905e-8	1.733977959635477e-8	1.9176898092599912e-8	2.078946200792178e-8	2.2282070190543075e-8	2.379459213572328e-8	2.5781870307550007e-8	2.1505073758083152e-8	2.360460404799965e-8	2.5573444423945078e-8	2.757604868941138e-8	3.020849291401078e-8	2.623434393338659e-8	2.876220494993824e-8	3.136195743239232e-8	3.478711699106641e-8	3.193801609155361e-8	3.528654322530481e-8	3.9739712186178846e-8	3.9603759295707634e-8	4.5519524934632625e-8	5.412293602793455e-8
