#	z	W1/Mpc^{-1}	W2/Mpc^{-1}	W3/Mpc^{-1}	W4/Mpc^{-1}	W5/Mpc^{-1}	W6/Mpc^{-1}	W7/Mpc^{-1}	W8/Mpc^{-1}	W9/Mpc^{-1}	W10/Mpc^{-1}
0.0001	1.0724212517961867e-8	1.0725811121668915e-8	1.0726222133923068e-8	1.0726466094088163e-8	1.072664598495319e-8	1.0726781394413213e-8	1.0726905499453125e-8	1.0727008299972903e-8	1.072712363874722e-8	1.0727268986003835e-8
0.013429666666666666	1.3821349993344534e-6	1.4111336958105416e-6	1.4186164883515724e-6	1.4230879126060387e-6	1.4262975331689666e-6	1.4288508284727116e-6	1.4310355352334251e-6	1.433044923331671e-6	1.4350783321333257e-6	1.4377524900559023e-6
0.026759333333333333	2.6362285632684296e-6	2.7519234438423597e-6	2.7818188948644813e-6	2.7996908006743705e-6	2.812523420266185e-6	2.8227215801684893e-6	2.8314569963079513e-6	2.8394889482178647e-6	2.847620313158715e-6	2.858303999191583e-6
0.040089	3.770514633493271e-6	4.0310029566282225e-6	4.098532048871547e-6	4.138901755868689e-6	4.1678842900703435e-6	4.1909204937623115e-6	4.210650375700024e-6	4.228796355092873e-6	4.247158183483521e-6	4.271293408958436e-6
0.05341866666666667	4.783273656728707e-6	5.24637413769341e-6	5.367025398180394e-6	5.439141917543238e-6	5.490926329541757e-6	5.532080360914127e-6	5.567325664776861e-6	5.599740993331259e-6	5.6325545683682565e-6	5.67566719798869e-6
0.06674833333333334	5.673657395367666e-6	6.396153501995249e-6	6.585646078046561e-6	6.698921192128737e-6	6.78024721795519e-6	6.844887814253467e-6	6.900250481296742e-6	6.951163529968731e-6	7.002699740640513e-6	7.070415147091671e-6
0.080078	6.441750885329381e-6	7.478498420722817e-6	7.75281692371165e-6	7.916779790398924e-6	8.034522615175878e-6	8.128084110901011e-6	8.208234721525917e-6	8.28193143037779e-6	8.356537953132348e-6	8.45456157853428e-6
0.09340766666666667	7.0885443156322185e-6	8.491709371781922e-6	8.867028143033195e-6	9.091382766599181e-6	9.252459665091481e-6	9.380486380826907e-6	9.490137198939422e-6	9.590974993919959e-6	9.693051258122818e-6	9.82716772578431e-6
0.10673733333333334	7.61599792018665e-6	9.434139855582415e-6	9.92687869105116e-6	0.00001022141351663278	0.000010432830389473311	0.000010600930557580582	0.000010744884551755316	0.000010877249408386936	0.000011011262438057141	0.000011187332838830036
0.12006700000000001	8.026903510123318e-6	0.000010304259539247193	0.000010930965920338457	0.000011305590493068141	0.000011574541482708892	0.000011788307436016413	0.000011971411173412126	0.000012139807576523539	0.000012310233313285276	0.000012534189577893278
0.13339666666666666	8.32499492437268e-6	0.000011100577119200794	0.000011878028560038834	0.000012342751356561325	0.000012676416200026153	0.000012941650858705154	0.000013168771879670335	0.000013377619928970177	0.000013589094437502101	0.000013866907973088247
0.14672633333333332	8.514787121372235e-6	0.000011821721498478056	0.000012766852550834464	0.000013331826032751882	0.000013737447815977955	0.000014059842810582555	0.00001433596867998744	0.000014589902814198385	0.000014846967497521729	0.000015184693042866624
0.16005599999999998	8.601597321403586e-6	0.000012466369920514551	0.000013596269602164022	0.000014271694065369245	0.00001475660431873168	0.000015142041796753133	0.000015472148731021162	0.000015775718298450214	0.00001608302619968574	0.000016486791576539306
0.17338566666666666	8.591465101500588e-6	0.000013033321004013296	0.000014365199330799619	0.00001516137002556105	0.000015732987787623674	0.000016187298542017357	0.000016576438744208995	0.00001693427828965686	0.00001729651811801928	0.000017772457921083758
0.18671533333333332	8.491143608027776e-6	0.0000135214252216546	0.00001507263750824627	0.000015999930912166963	0.000016665664384265807	0.00001719481987807159	0.000017648020473297033	0.000018064792504920645	0.0000184867035066227	0.000019041010083380006
0.200045	8.307989362477979e-6	0.000013929565056301286	0.000015717599625693098	0.00001678645473966223	0.000017553821372147898	0.000018163746774691437	0.00001868612255015924	0.00001916653830787959	0.000019652852807598676	0.000020291789206497245
0.21337466666666666	8.050018363264999e-6	0.000014256779786897855	0.000016299186456421945	0.000017520121746495662	0.000018396646614089683	0.00001909336043553778	0.00001969006923449617	0.000020238792662756405	0.00002079430822615368	0.00002152416035305257
0.2267043333333333	7.725774585720095e-6	0.000014502137037667097	0.000016816573466439882	0.000018200117053495926	0.000019193418053696164	0.000019982917445954808	0.000020659137091696854	0.000021280942218323416	0.000021910443623863083	0.000022737517428387845
0.240034	7.344281474765955e-6	0.000014664797068784822	0.000017268962559301306	0.00001882575345979842	0.000019943439800780936	0.000020831782808022194	0.000021592637210205305	0.0000222923454327996	0.000023000668759123613	0.000023931294419574493
0.25336366666666665	6.9150289738304995e-6	0.000014744043623467968	0.000017655628829507687	0.000019396320368845895	0.00002064600717629899	0.00002163930291753855	0.000022490046851952026	0.000023272401389245792	0.00002406438088219526	0.000025104953761824678
0.26669333333333334	6.447836457420249e-6	0.000014739283759189745	0.000017975876156828363	0.00001991119734615857	0.00002130058110241079	0.000022404904007556005	0.000023350749289467584	0.00002422056198150046	0.00002510109600529877	0.000026257962465929173
0.28002299999999997	5.9527958643514545e-6	0.000014650177936686598	0.00001822913347222075	0.00002036973799451309	0.00002190650926442197	0.00002312803542132021	0.000024174218338674746	0.000025136302214008875	0.00002611023983416816	0.00002738986979916804
0.29335266666666665	5.4401161081419545e-6	0.000014476663457489725	0.000018414768408423293	0.00002077144346386246	0.000022463378758675453	0.0000238081471684404	0.000024959951444325682	0.000026019148439376933	0.000027091426786852765	0.000028500177392432288
