# l C11 C12 C13 ... C110 C22 C23 ... C210 C33 C34 .. C310 ... C1010
10.	7.1264110050415524e-9	9.858599412697504e-9	9.895267381447508e-9	9.974963291257477e-9	1.005211748566964e-8	1.0116391803001609e-8	1.0171710022245411e-8	1.0222599498179875e-8	1.0274123228919713e-8	1.0341920351989414e-8	2.0464877070706554e-8	2.2785318034988675e-8	2.38558132509928e-8	2.4644612637128437e-8	2.52984013104726e-8	2.586597313670286e-8	2.6388479480704073e-8	2.6917491726108545e-8	2.761255248711207e-8	2.7222672992951677e-8	2.9419113402120418e-8	3.079233914142452e-8	3.1883125722629826e-8	3.284097626299123e-8	3.372997687688794e-8	3.463119164434919e-8	3.581531764595693e-8	3.2744852235884096e-8	3.4853175999005766e-8	3.638225657538047e-8	3.768620023172262e-8	3.8905903247059205e-8	4.014829023244922e-8	4.17815803911722e-8	3.772713628588588e-8	3.9813839760058804e-8	4.148640176580997e-8	4.302100125471737e-8	4.459380491966791e-8	4.666700161348054e-8	4.2503600461207745e-8	4.4650458697633924e-8	4.6528705921830206e-8	4.843347980294904e-8	5.095689894603501e-8	4.733392207155089e-8	4.966237403854253e-8	5.1934560963342496e-8	5.49376084214433e-8	5.2533981808845906e-8	5.5299883180644776e-8	5.8851784830319366e-8	5.8728140185203734e-8	6.304572155482084e-8	6.872379253961733e-8
15.	5.03220687671208e-9	6.939010019450598e-9	6.759195012694548e-9	6.714298342601906e-9	6.705264056775805e-9	6.7015723588494855e-9	6.698844847063845e-9	6.696261109819831e-9	6.693670189884989e-9	6.69026539397831e-9	1.6348279492247915e-8	1.8428865680877504e-8	1.9302796046054633e-8	1.9952674620694986e-8	2.0501784465376588e-8	2.0980692772776016e-8	2.1422302073460132e-8	2.186944461596117e-8	2.245694186737389e-8	2.2862034624221107e-8	2.4988161141176858e-8	2.6267199586717713e-8	2.7282048271911834e-8	2.81803974032487e-8	2.9016731853219743e-8	2.9864901257731626e-8	3.097946603121853e-8	2.8422529329972952e-8	3.055239425602055e-8	3.206295201840273e-8	3.334901927799607e-8	3.455755901653987e-8	3.5790676770260854e-8	3.74121732081066e-8	3.359163241685489e-8	3.576333164031219e-8	3.747837658301811e-8	3.9050622713045936e-8	4.06669897068413e-8	4.279927561458838e-8	3.8664249086748335e-8	4.095148632749323e-8	4.2931734803051276e-8	4.4940495779447096e-8	4.7606661860642965e-8	4.389705982237099e-8	4.642797389315985e-8	4.887973834399884e-8	5.212394359452289e-8	4.963357427172102e-8	5.2696035265242635e-8	5.661199783034154e-8	5.6590847012796095e-8	6.146330274615743e-8	6.806456745088873e-8
20.	3.756970613267542e-9	5.107203610902969e-9	4.814240658173776e-9	4.69993223463059e-9	4.6419517047151055e-9	4.599588786417378e-9	4.5637545493983046e-9	4.530892061036215e-9	4.497554671354705e-9	4.453861228074608e-9	1.3085906210383769e-8	1.484584285851468e-8	1.5509203625698234e-8	1.6007546605825378e-8	1.6438871934251458e-8	1.6817793036055273e-8	1.7167599522517307e-8	1.7521832903141302e-8	1.7987252852894798e-8	1.8970368980306427e-8	2.0894152243950287e-8	2.2005330468170112e-8	2.2884584010378303e-8	2.3671572900851764e-8	2.4405995941778488e-8	2.5151273651454703e-8	2.6130554722609493e-8	2.4186291548792437e-8	2.6188507208431878e-8	2.757572351839777e-8	2.8754389040913225e-8	2.986761274558015e-8	3.1005423048576934e-8	3.2502070551127074e-8	2.9165208074450206e-8	3.1260630216274205e-8	3.289068924406863e-8	3.4383600807414805e-8	3.592327468092316e-8	3.7956161593787845e-8	3.415217755015856e-8	3.6405619712427656e-8	3.833619358864892e-8	4.029501413974322e-8	4.2899874205660486e-8	3.93879842568354e-8	4.192654225609258e-8	4.436784240105062e-8	4.7601962361128056e-8	4.522119363104967e-8	4.8344201574418855e-8	5.232058103970029e-8	5.2410335670598375e-8	5.7464691822320175e-8	6.44989109529155e-8
25.	2.9297928333694425e-9	3.9459406219812175e-9	3.6154698349032032e-9	3.47293601726434e-9	3.3943278392787602e-9	3.3355595702489226e-9	3.285783149899626e-9	3.2399440014291604e-9	3.1935407884859668e-9	3.1325762013929858e-9	1.0672058941132871e-8	1.2134399092698559e-8	1.2623425735301362e-8	1.2994904927557275e-8	1.3326026187375955e-8	1.3619484238080836e-8	1.3890785072613532e-8	1.4165807481379752e-8	1.4526538020919178e-8	1.5847115329126798e-8	1.753903680069949e-8	1.8476213398577095e-8	1.9216591031625608e-8	1.9884398656418958e-8	2.0510661381187275e-8	2.1146630463165737e-8	2.1982238771009078e-8	2.0587395784703142e-8	2.2406258780351203e-8	2.363785122406344e-8	2.468189837408107e-8	2.567304523423945e-8	2.6688261270823493e-8	2.80239958797613e-8	2.5214279025206565e-8	2.71636062795596e-8	2.8657111146902296e-8	3.0023430357027056e-8	3.1437220592525364e-8	3.3305667537213915e-8	2.993458148041419e-8	3.207044871466356e-8	3.3880954971043e-8	3.5718273739681176e-8	3.8166494854833927e-8	3.49691743414104e-8	3.7414426941469905e-8	3.974879445430148e-8	4.2844949014143125e-8	4.066051021844613e-8	4.371426373840617e-8	4.7585774352471824e-8	4.7777821743784804e-8	5.2797460744660824e-8	5.995943358570603e-8
30.	2.3488399556355926e-9	3.158441953796385e-9	2.8324598634020972e-9	2.6854587442922573e-9	2.602217993773324e-9	2.539791512096727e-9	2.48669369582992e-9	2.4378888191976326e-9	2.388478528628732e-9	2.3235626537895355e-9	8.887533573250724e-9	1.0111753156269817e-8	1.0474572804850924e-8	1.0752637983274374e-8	1.1008803351981709e-8	1.1238073243860434e-8	1.1450381448807455e-8	1.1665397565794616e-8	1.1947913523178328e-8	1.340634020996275e-8	1.4878825470785922e-8	1.5661393629073218e-8	1.6277814610804566e-8	1.683990872288174e-8	1.736851109284737e-8	1.7905956640190943e-8	1.8612298151897708e-8	1.764946070794611e-8	1.92766719890732e-8	2.0353413501277787e-8	2.126377289538835e-8	2.2132552069747724e-8	2.3024527993428802e-8	2.4198258638176565e-8	2.187365690110272e-8	2.365349480857801e-8	2.499665936170832e-8	2.6223892934909885e-8	2.74980594181193e-8	2.918368236830937e-8	2.6252072598360064e-8	2.823450383311299e-8	2.989728853999888e-8	3.158485972201714e-8	3.3838140461061176e-8	3.098755638082065e-8	3.329015639416146e-8	3.5472180940429274e-8	3.8369691496214284e-8	3.641129075130045e-8	3.9326184703182285e-8	4.300578242462841e-8	4.32844253480131e-8	4.814445299085213e-8	5.524102199418341e-8
35.	1.90653717052648e-9	2.571293988669404e-9	2.2662528847732243e-9	2.1250655098111233e-9	2.044117994987337e-9	1.9833026232614467e-9	1.9316794937436463e-9	1.8842060159564803e-9	1.8370720566089779e-9	1.7728795048672393e-9	7.523196651119332e-9	8.564854971904524e-9	8.843105023912601e-9	9.05728432874639e-9	9.260882399971384e-9	9.444891757581387e-9	9.615528352309418e-9	9.788376513231115e-9	1.0015561793314382e-8	1.1481186086699512e-8	1.2765898284985882e-8	1.3423327758888635e-8	1.3938964128742136e-8	1.441344552834078e-8	1.4862677385948562e-8	1.5319054131590963e-8	1.5918816745628012e-8	1.5263538737563966e-8	1.671074522943278e-8	1.7647532156211834e-8	1.8437351628317868e-8	1.91952203471789e-8	1.9974846661279888e-8	2.1001207327233567e-8	1.9085908451279335e-8	2.0695599678104237e-8	2.189247432295599e-8	2.29847717510055e-8	2.41227023502553e-8	2.5629544357465105e-8	2.3102548121617603e-8	2.4921553677714002e-8	2.6431609327501477e-8	2.796416710101011e-8	3.001469406711484e-8	2.750091398139348e-8	2.9640772043488962e-8	3.165409798378291e-8	3.433035070157796e-8	3.2597418908913626e-8	3.533946314039675e-8	3.8786029884396385e-8	3.9133489156473274e-8	4.3764900017906346e-8	5.0674892138278e-8
40.	1.5804793162732492e-9	2.131133266232321e-9	1.850622527912712e-9	1.718203968409584e-9	1.6419436076436455e-9	1.5844277838641994e-9	1.5355199969703185e-9	1.490566182763661e-9	1.4450593099714925e-9	1.3853022695610059e-9	6.473799773075308e-9	7.379493231651707e-9	7.602701379350807e-9	7.774666423369935e-9	7.942437960977212e-9	8.095307895757346e-9	8.237258204357324e-9	8.381013679513977e-9	8.56994971713382e-9	9.970671154958014e-9	1.1100773193875052e-8	1.1661704273371324e-8	1.2099570849094653e-8	1.2506256675862706e-8	1.2891663274026541e-8	1.3284299300708667e-8	1.380021489358862e-8	1.3349659182197498e-8	1.463981165480236e-8	1.545875918586275e-8	1.6147113075049368e-8	1.681087022956475e-8	1.7495195235422205e-8	1.839618239088585e-8	1.680236042028312e-8	1.825436575308963e-8	1.9319376072489463e-8	2.0289769206720582e-8	2.1304066323356096e-8	2.26484744669391e-8	2.0468796014941655e-8	2.2128366479565655e-8	2.349228773052233e-8	2.487671255520786e-8	2.6732808202707852e-8	2.4525470969308258e-8	2.6499600151535e-8	2.8343839525119737e-8	3.079801965330613e-8	2.9275042172596743e-8	3.183217490354371e-8	3.5032819229385276e-8	3.543167799875667e-8	3.980102431189422e-8	4.645112673422083e-8
45.	1.3225181245643187e-9	1.773282393262581e-9	1.5138700223268818e-9	1.3895854651470966e-9	1.3171618025177818e-9	1.2625669394361707e-9	1.2161069454391274e-9	1.1734173060958017e-9	1.1302013897578585e-9	1.0734247043497423e-9	5.622107599684565e-9	6.424374708088864e-9	6.611815838962243e-9	6.755642549441399e-9	6.898646193600923e-9	7.029702992717728e-9	7.15155124067594e-9	7.27501201167374e-9	7.43719473613297e-9	8.744491832557819e-9	9.748694761348044e-9	1.0235895759099867e-8	1.0614439314073429e-8	1.0968204902976621e-8	1.1304660594618004e-8	1.1647644615174955e-8	1.2098276448769231e-8	1.1778263225630204e-8	1.2934143992640923e-8	1.3656718846266922e-8	1.4262059049732136e-8	1.4848237883566153e-8	1.545352854488213e-8	1.6250782198678196e-8	1.490308690205044e-8	1.621533165668618e-8	1.7166570768934246e-8	1.803180945903167e-8	1.8938888495443695e-8	2.014227505615928e-8	1.8247641567537344e-8	1.9760069482901942e-8	2.0991729551585926e-8	2.2241700563119473e-8	2.392086983581226e-8	2.1978059916105965e-8	2.379270102702007e-8	2.5476432712493293e-8	2.7719703450092318e-8	2.6383171124849894e-8	2.8755613519804478e-8	3.1712933510689494e-8	3.214812666966648e-8	3.624421966033287e-8	4.2593422993330875e-8
50.	1.1280015490753516e-9	1.4922869311414826e-9	1.2480105248033369e-9	1.1307798762387597e-9	1.0612455933216805e-9	1.0087767483317764e-9	9.641106728084262e-10	9.230564021703491e-10	8.814958768344715e-10	8.269013459122266e-10	4.927507656376713e-9	5.647809486824613e-9	5.810615483720344e-9	5.934819653338464e-9	6.059807084295592e-9	6.1748453817997594e-9	6.281897719781345e-9	6.390364145670339e-9	6.53286286877333e-9	7.745192401268286e-9	8.648152792370842e-9	9.078924558531762e-9	9.412618372068462e-9	9.725574772672739e-9	1.0024460986843222e-8	1.0328859796852556e-8	1.072895618462904e-8	1.0488527583037287e-8	1.1531483793197686e-8	1.217556444024686e-8	1.271371778831683e-8	1.3236504445252774e-8	1.3777283050470523e-8	1.4489611274392768e-8	1.3327708302927678e-8	1.4518600527685526e-8	1.537368926207119e-8	1.6150311983236896e-8	1.6966329841180635e-8	1.8049906653793454e-8	1.6384807027087385e-8	1.776599569685742e-8	1.8881917877243416e-8	2.0014079182712758e-8	2.1537680276904217e-8	1.981574673569446e-8	2.1483534279711805e-8	2.3021410132598915e-8	2.507233190272027e-8	2.389449384916567e-8	2.609065655723002e-8	2.8817630786806448e-8	2.9274617442979867e-8	3.309992949556195e-8	3.9129902898038845e-8
55.	9.727604755220188e-10	1.2633264706288453e-9	1.0307277561638748e-9	9.174784684936333e-10	8.500093780856357e-10	7.988293920792462e-10	7.552864177841205e-10	7.152351454736982e-10	6.747640126774536e-10	6.21502011360405e-10	4.340339072581337e-9	4.991251561400648e-9	5.134319305288733e-9	5.243080099342573e-9	5.353522421627979e-9	5.455518346169716e-9	5.550477710898772e-9	5.646712291265067e-9	5.773155453041002e-9	6.904371238026575e-9	7.724527992953562e-9	8.111915104095458e-9	8.410953274995731e-9	8.69241773072444e-9	8.961233927664028e-9	9.235341830229861e-9	9.595609586611705e-9	9.404075488119706e-9	1.0352615267270101e-8	1.0933284888159436e-8	1.1417321843850992e-8	1.188859811636701e-8	1.2376753520839247e-8	1.3019850304528902e-8	1.1997376826920882e-8	1.3083703027817165e-8	1.3857784634472302e-8	1.455987464221688e-8	1.5299195906296173e-8	1.6281392110414832e-8	1.480063807230831e-8	1.606609208345716e-8	1.7081964364106644e-8	1.811232780956963e-8	1.9500948510612074e-8	1.796186389649157e-8	1.9497509086169998e-8	2.090608488695951e-8	2.2785964251820835e-8	2.1739958356222503e-8	2.3773128993871153e-8	2.6288970827995758e-8	2.6754878200201416e-8	3.032137170186368e-8	3.6026843828744495e-8
