# thetas P1-P1 P1-P2 P1-P3 P1-P4 P1-P5 P1-P6 P1-P7 P1-P8 P1-P9 P1-P10 P2-P2 P2-P3 P2-P4 P2-P5 P2-P6 P2-P7 P2-P8 P2-P9 P2-P10 P3-P3 P3-P4 P3-P5 P3-P6 P3-P7 P3-P8 P3-P9 P3-P10 P4-P4 P4-P5 P4-P6 P4-P7 P4-P8 P4-P9 P4-P10 P5-P5 P5-P6 P5-P7 P5-P8 P5-P9 P5-P10 P6-P6 P6-P7 P6-P8 P6-P9 P6-P10 P7-P7 P7-P8 P7-P9 P7-P10 P8-P8 P8-P9 P8-P10 P9-P9 P9-P10 P10-P10
3.445664816806323083e-01 1.600914718051864999e-02 6.523805434903629311e-03 1.238452602901927947e-03 1.614849572483908655e-04 1.492896366023900011e-05 9.084005945362270109e-07 3.122481188296389891e-08 4.590451684301275949e-10 1.596174859560325748e-12 2.248432718455884785e-16 1.513855826806394939e-02 8.736355257200135657e-03 2.661178795094512519e-03 5.088880312303795941e-04 6.158437337482231021e-05 4.256011853390254446e-06 1.311473845091512859e-07 1.027779540008514542e-09 3.793855370880626017e-13 1.284594073231985593e-02 8.437643977302513101e-03 3.110375766730440281e-03 6.794032050853154566e-04 8.288390419949923603e-05 4.608106741461988470e-06 7.006451623430676040e-08 5.954429649940237881e-11 1.108566488495992333e-02 7.660571623209719641e-03 2.989133540545073266e-03 6.338320973527985375e-04 6.142219197860209205e-05 1.717422214389890080e-06 3.181652366596187844e-09 9.667490136814248236e-03 6.745610786930224950e-03 2.528614259510216043e-03 4.352292533222012452e-04 2.252769077695212846e-05 9.045674649278716460e-08 8.452012628126372162e-03 5.749165374323290771e-03 1.835849883739681552e-03 1.849955284526055138e-04 1.688065580804618469e-06 7.345463151178580063e-03 4.624855961380635455e-03 9.881782608935556038e-04 2.275668783429188403e-05 6.249307132508027940e-03 3.227785338059298813e-03 2.228191707777230947e-04 4.971738913761579275e-03 1.375290154062355471e-03 2.532071730970486718e-03
4.909082505672607288e-01 1.207441671022765201e-02 4.681229734491394213e-03 8.636576703608698840e-04 1.100374674261725872e-04 9.966412362152840892e-06 5.948754524209926429e-07 2.005820613871863160e-08 2.888661791397301452e-10 9.805437490508661101e-13 1.336211531662125139e-16 1.060819733219236886e-02 5.988661624565800277e-03 1.788365298776710280e-03 3.356557128085040326e-04 3.988722000097568159e-05 2.706288601545372622e-06 8.177759806911884507e-08 6.265470546377441964e-10 2.242087710825621180e-13 8.657343753277100054e-03 5.593283242896501632e-03 2.028480820057900098e-03 4.358047827394598132e-04 5.225437512167341374e-05 2.851322344249664520e-06 4.242486212833678756e-08 3.500552821705238725e-11 7.247347902938915815e-03 4.937581140725768626e-03 1.898313563555358626e-03 3.961866056390617196e-04 3.772230946944434249e-05 1.033161835349978192e-06 1.860695937193572745e-09 6.154505167029281250e-03 4.238053422041208711e-03 1.565881901382364669e-03 2.651571885317598881e-04 1.345976309451984405e-05 5.261203395952296142e-08 5.248040600905217769e-03 3.523358443731277722e-03 1.108309069241102682e-03 1.096746440800613735e-04 9.758602198312671809e-07 4.448596919695415285e-03 2.762396065390426442e-03 5.803681988914377674e-04 1.305916748055033597e-05 3.685071565300293821e-03 1.873287024457374883e-03 1.266259440090834428e-04 2.840187618818236330e-03 7.700938941154563842e-04 1.379842312421659771e-03
6.994032306902541185e-01 8.572445686431935316e-03 3.121813206380634562e-03 5.558139931272080203e-04 6.878828801220316356e-05 6.070923946634896950e-06 3.535675530507823513e-07 1.162998280985069214e-08 1.630603883738820387e-10 5.362550991452299835e-13 6.990803358338513938e-17 6.868383580857014871e-03 3.771976925804843180e-03 1.098563179561213871e-03 2.013478296465390455e-04 2.337435920511885939e-05 1.548586010704713364e-06 4.561371333063329423e-08 3.391847231966831072e-10 1.164180437771418430e-13 5.337240520009535472e-03 3.376693333903741951e-03 1.199306241000906107e-03 2.522188927753421690e-04 2.956948062888131999e-05 1.574356201518021799e-06 2.276133940176380727e-08 1.804721413949409634e-11 4.298289550701868932e-03 2.875396516830829117e-03 1.084473135451753840e-03 2.216898325417877998e-04 2.062346881361788284e-05 5.494889304544912662e-07 9.524582300160179507e-10 3.527083438546140676e-03 2.387349697805682576e-03 8.655290158160145950e-04 1.434290815213054245e-04 7.093110995933982654e-06 2.672986767858139978e-08 2.911028438346901278e-03 1.920869297601699105e-03 5.922527791669479017e-04 5.719350260115875696e-05 4.916513554435183398e-07 2.387331691857740718e-03 1.455143923631107682e-03 2.988169636552556697e-04 6.512772914911888917e-06 1.907756522109262543e-03 9.489175396814202891e-04 6.229672074116165959e-05 1.407574916462011293e-03 3.710603616805956172e-04 6.395979994510869911e-04
9.964486816726315643e-01 5.655273285694368927e-03 1.900539728035110631e-03 3.232591020934897524e-04 3.852184918265800834e-05 3.285276961324331756e-06 1.851307173146156952e-07 5.887223980697326296e-09 7.952218820528824665e-11 2.499740556181765503e-13 3.052376177817594128e-17 4.026032066652141840e-03 2.133267938735178455e-03 6.011800425910594639e-04 1.067502854408878784e-04 1.200653461578186905e-05 7.697580805485615145e-07 2.187241675270068042e-08 1.557896723731722748e-10 5.025253762931884023e-14 2.934681871804156392e-03 1.805624546247035266e-03 6.235256449359061030e-04 1.273568831428898915e-04 1.447113117024673691e-05 7.440803035699580051e-07 1.031771102112706867e-08 7.705963603742835228e-12 2.244171695092900005e-03 1.464362238262067930e-03 5.378401464580902713e-04 1.067884780142692346e-04 9.609432390974606938e-06 2.458986326140017019e-07 4.022475732295392547e-10 1.756935173646936941e-03 1.160905660788125442e-03 4.097023821578236850e-04 6.580293213896412435e-05 3.131059270219482574e-06 1.115832226604926997e-08 1.384889509724996411e-03 8.913731292891068645e-04 2.669011889494465818e-04 2.485098779300905122e-05 2.025713374765064043e-07 1.082603826762802441e-03 6.419362445799250668e-04 1.273407419728730180e-04 2.640799756749438815e-06 8.198121804273101948e-04 3.943214728062143133e-04 2.471956176312927494e-05 5.651335165960212755e-04 1.423617572846131113e-04 2.301807690082881687e-04
1.419653115166774171e+00 3.408273706559109689e-03 1.029038715685954859e-03 1.645233093796882331e-04 1.859904818894690155e-05 1.510048386651867577e-06 8.104246718210654353e-08 2.447459497362648757e-09 3.116535130788625173e-11 9.093957181025054376e-14 9.914056184360513087e-18 2.071241619408221036e-03 1.044426493267491948e-03 2.808652107348646597e-04 4.761300743632533176e-05 5.105552204434104943e-06 3.110119027058546782e-07 8.340156007558753939e-09 5.527159183530473557e-11 1.599214732652598578e-14 1.380454380628913296e-03 8.155910053312589308e-04 2.700659179481256032e-04 5.274403785640145324e-05 5.703831566074580270e-06 2.770403087043035580e-07 3.578809009066748265e-09 2.405196105190467124e-12 9.782237135821409291e-04 6.145243428426614600e-04 2.165348187628735510e-04 4.102590794762937408e-05 3.493678945980177492e-06 8.341187541070544698e-08 1.231251935407602294e-10 7.122582363114934954e-04 4.528755977411755024e-04 1.529358539536595065e-04 2.330277054183487514e-05 1.036948530158066981e-06 3.346560613157997838e-09 5.212675629618887573e-04 3.218381395721036211e-04 9.165055016615099076e-05 8.003476290953121997e-06 5.940387690702086011e-08 3.757851647411790939e-04 2.123646108535809222e-04 3.961892345931234755e-05 7.541798420479042164e-07 2.588722750768175499e-04 1.173801603007942494e-04 6.831952677569833102e-06 1.590293836470976362e-04 3.791559523928573659e-05 6.486537824068918637e-05
2.022597856238482983e+00 1.831847135172195865e-03 4.745700109046046980e-04 6.915399021349237236e-05 7.192546241276036693e-06 5.382402327742712574e-07 2.656439775113771653e-08 7.345752960675039707e-10 8.621527435540053754e-12 2.538574187803610816e-14 4.007824251239592137e-18 8.851747218206357801e-04 4.130847317710029283e-04 1.029050095759944755e-04 1.612432175165591072e-05 1.592373077636607149e-06 8.937701124567889582e-08 2.268408231658606524e-09 1.627093368487021242e-11 6.898815445448381029e-15 5.115418247422406613e-04 2.822509728150323629e-04 8.694056556713521610e-05 1.574548956591917856e-05 1.589888050455831494e-06 7.570465569960743964e-08 1.129976957071198258e-09 1.085208234026859217e-12 3.183751643583170770e-04 1.874432173672387384e-04 6.194465451104027036e-05 1.120978392284269670e-05 9.805920093438827801e-07 2.859779183768112310e-08 5.683119453562142203e-11 2.057163158691028128e-04 1.249471840857478743e-04 4.175482470660225827e-05 6.922629590752090280e-06 3.897553240449409699e-07 1.534653328259734638e-09 1.418359050513302529e-04 9.133376909315160620e-05 3.004607715050443322e-05 3.314264390186972752e-06 2.583864546714883145e-08 1.185532073869111666e-04 8.020363926278145411e-05 1.779047779568643570e-05 2.821202587103514465e-07 1.132424843882554153e-04 5.241061360020564044e-05 1.609521888671736509e-06 4.943715827441739070e-05 -2.964188963717220720e-06 -4.303699626447846582e-05
2.881620900454915368e+00 8.453566302348826346e-04 1.714037819838525750e-04 2.152935426849127549e-05 2.072874988022751723e-06 1.687304067115390356e-07 1.028829582487813773e-08 2.897801019466618180e-10 7.910848712385665934e-13 -1.489666061950044284e-14 -3.975515346900305552e-18 2.827176203649377890e-04 1.203545615776510739e-04 3.078133339814053185e-05 5.747290297760156028e-06 6.510862241088083730e-07 2.594341810383941047e-08 -3.488526788391007479e-10 -1.242775292352419700e-11 -6.946782067500714382e-15 1.506598013206192159e-04 9.501796148272583572e-05 3.455251271258194160e-05 5.956928002672573194e-06 2.086812059686776154e-07 -2.872734708730337272e-08 -9.854383143656530774e-10 -1.116965061412887586e-12 1.243466670881906272e-04 7.542697343874537469e-05 1.672472691261080429e-05 -9.452260447603987323e-07 -5.748338147937572593e-07 -2.678297915264715149e-08 -6.075248025021464589e-11 6.301821301443254837e-05 6.349196493498361159e-06 -1.481783390607435318e-05 -5.317275128579498743e-06 -3.797151398775449902e-07 -1.750524340773613397e-09 -3.927376125897870065e-05 -5.856792934038376579e-05 -2.712997043380143978e-05 -3.315391408535594830e-06 -3.300364801223884777e-08 -1.027271099916941864e-04 -7.817655003248066706e-05 -1.856477553069149872e-05 -4.482640699173635836e-07 -1.154039082804734221e-04 -6.264246051005237421e-05 -4.406573635596651334e-06 -9.810256598156425866e-05 -2.710519280612767377e-05 -4.854777831100918968e-05
4.105481961392680290e+00 3.218190745672516143e-04 5.589203727344853480e-05 6.738538569501309235e-06 -1.383294730518394646e-07 -1.086883785012521630e-07 -9.895150904687839714e-09 -3.801747158936417881e-10 -5.622766616039853540e-12 -1.871281655742557853e-14 -2.403230478860629494e-18 9.359721982582433757e-05 9.444958926107798144e-06 -1.422859909754336912e-05 -4.988338414181199792e-06 -7.264634043174761754e-07 -5.235499763023226077e-08 -1.585258150737466871e-09 -1.182287083294472057e-11 -3.987628073659472122e-15 -5.744327830765343128e-05 -7.490699042883016768e-05 -3.506385009420858806e-05 -8.276573551102878895e-06 -1.016123485494522251e-06 -5.487999926444169636e-08 -7.914372755447868059e-10 -6.163696810350089185e-13 -1.223925627350647670e-04 -9.222810841926079107e-05 -3.676591521570491653e-05 -7.689347050540974965e-06 -7.194385255535062113e-07 -1.904068633460496774e-08 -3.245834808856459945e-11 -1.188763638613425097e-04 -8.242585279177153698e-05 -3.016376115673616317e-05 -4.997436612285290900e-06 -2.447314873593462527e-07 -9.096555422029436074e-10 -1.013655769026024336e-04 -6.700494561370259991e-05 -2.056135915813389267e-05 -1.963321365807003238e-06 -1.672458069349146457e-08 -8.300946869857008545e-05 -5.019482116649222694e-05 -1.020432409942157522e-05 -2.217450835077914225e-07 -6.527665775736582975e-05 -3.229570899689360603e-05 -2.126698690180955478e-06 -4.798842955766343505e-05 -1.270001749807859037e-05 -2.165844031160095995e-05
5.849132386796552119e+00 9.189054581493818477e-05 -2.800795216560450474e-05 -9.695779787854047265e-06 -1.302202475260699568e-06 -1.127948979367846994e-07 -6.310061590369796753e-09 -1.994588548632148485e-10 -2.691789724525579634e-12 -8.400385176644492669e-15 -1.015547065704567882e-18 -1.136793065270304769e-04 -7.096402133741547052e-05 -2.061705549589704808e-05 -3.651097234592818026e-06 -4.075538465671413869e-07 -2.606538788607966702e-08 -7.392646240969639422e-10 -5.214279647904694228e-12 -1.675130576987503261e-15 -1.005283809902045918e-04 -6.188534489426867019e-05 -2.121784434373397181e-05 -4.314866757500752729e-06 -4.898483305126918237e-07 -2.508493945622520646e-08 -3.442190346081025765e-10 -2.576399601028936728e-13 -7.644411541913051316e-05 -4.964638426843617504e-05 -1.821107494572415226e-05 -3.610831387496634313e-06 -3.228664137331962621e-07 -8.185804227105069301e-09 -1.350256896526747784e-11 -5.949312343128480005e-05 -3.928574708087843024e-05 -1.381635760536377421e-05 -2.201943294279464724e-06 -1.041475899423861248e-07 -3.764900942202685549e-10 -4.674801667984032990e-05 -2.991734832905837511e-05 -8.895225882307657245e-06 -8.276951124005221599e-07 -6.881135027563685160e-09 -3.612338355418593630e-05 -2.135255896569808351e-05 -4.261868390958667352e-06 -9.055183975661200885e-08 -2.736888235442030195e-05 -1.333831353574335984e-05 -8.596438799914626817e-07 -1.950406252215173701e-05 -5.064965547945146743e-06 -8.545805971917905193e-06
8.333333333333332149e+00 -4.411946050676673474e-05 -3.427818540724007030e-05 -5.531427300096858667e-06 -6.228860018743964924e-07 -5.022266947658837131e-08 -2.684043374583320183e-09 -8.244488117198015044e-11 -1.090213988013638100e-12 -3.329354891335999309e-15 -3.957128611293088318e-19 -6.970862097368306864e-05 -3.500967267917252631e-05 -9.368695767094079287e-06 -1.577586689058573004e-06 -1.703078872711709864e-07 -1.066158816980888292e-08 -2.968965536670079930e-10 -2.055290245749602663e-12 -6.516115318349880599e-16 -4.609735337460766123e-05 -2.705630803206098209e-05 -8.963288047961083985e-06 -1.781201453337780293e-06 -1.987534075389106841e-07 -1.000433191504669298e-08 -1.351600068057714644e-10 -1.000847954250976563e-13 -3.242890608612996272e-05 -2.060982967822781872e-05 -7.439956867653784334e-06 -1.453481099720179260e-06 -1.279669229082973368e-07 -3.204484258556963192e-09 -5.239597981185341633e-12 -2.436236952281659320e-05 -1.588853111851392964e-05 -5.514339680577609370e-06 -8.677755308508788376e-07 -4.066056604203754031e-08 -1.459682389947095716e-10 -1.870231367248537032e-05 -1.183775070977702165e-05 -3.487910142350518157e-06 -3.223022388035726789e-07 -2.666136686933438394e-09 -1.418654343674440903e-05 -8.335376787252777954e-06 -1.655431579085273088e-06 -3.506984754757547663e-08 -1.064109120023557078e-05 -5.170553940636653137e-06 -3.327535350469020377e-07 -7.552286113310263523e-06 -1.953445411968729865e-06 -3.252200248436930105e-06
