# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
2.611916279594e+02	1.106900314513e-06	5.463129375695e-07	1.140399704237e-07	1.578147364855e-08	1.567082979804e-09	1.035405990303e-10	3.790321142973e-12	5.757355822790e-14	2.039575652948e-16	3.076046930733e-20	1.374586951942e-06	8.407528339990e-07	2.722697922047e-07	5.626792036986e-08	7.301904930735e-09	5.268048633542e-10	1.656637273335e-11	1.326116106269e-13	5.283053911045e-17	1.300506939897e-06	9.129045090793e-07	3.600681416494e-07	8.269180887465e-08	1.036949493243e-08	5.855473278652e-10	9.148963574669e-12	8.435552998040e-15	1.271544097347e-06	9.215250616991e-07	3.706440050745e-07	7.990614697227e-08	7.862477559127e-09	2.275019485687e-10	4.588171023056e-13	1.194440265115e-06	8.467802515460e-07	3.211408687496e-07	5.631337988070e-08	3.037110076018e-09	1.329772870087e-11	1.071027581948e-06	7.379355557546e-07	2.415101752819e-07	2.551181895948e-08	2.536960931613e-10	9.602902956510e-07	6.241765283316e-07	1.404992633786e-07	3.514510079507e-09	8.766130293512e-07	4.787682923067e-07	3.567639767895e-08	7.816624876479e-07	2.318733993741e-07	4.629030810193e-07
3.563754284892e+02	5.973455847412e-07	3.038755306405e-07	6.472195397660e-08	9.199409476510e-09	9.253708540775e-10	6.056440313878e-11	2.182732081456e-12	3.373435353905e-14	1.289446886661e-16	2.097030020023e-20	7.766725502794e-07	4.867286501245e-07	1.604082954553e-07	3.308770330179e-08	4.228035792460e-09	3.042261877722e-10	9.948733086969e-12	8.607443229749e-14	3.603238145887e-17	7.651034313452e-07	5.382509895922e-07	2.098020493477e-07	4.765335965414e-08	6.061156496074e-09	3.608917978916e-10	6.056155948193e-12	5.736253010353e-15	7.426000484625e-07	5.318826989678e-07	2.143762323670e-07	4.767494904886e-08	4.975923704186e-09	1.527940213622e-10	3.101590636396e-13	6.893154087541e-07	4.984333946038e-07	1.973819595697e-07	3.660806545546e-08	2.060042370215e-09	8.910166789612e-12	6.522502742489e-07	4.705048553954e-07	1.609673631370e-07	1.738066656913e-08	1.679146619387e-10	6.351839048964e-07	4.235147422731e-07	9.532936235024e-08	2.286604275148e-09	5.965930514486e-07	3.191919787547e-07	2.265091859030e-08	5.026554775571e-07	1.422620054022e-07	2.763088106948e-07
4.862462362330e+02	3.124295441298e-07	1.630766793859e-07	3.533951054283e-08	5.099564008013e-09	5.145754310613e-10	3.398304768381e-11	1.252027740147e-12	1.980676298604e-14	7.661482904985e-17	1.210702292155e-20	4.226980800144e-07	2.689702098846e-07	8.917666226601e-08	1.847782334184e-08	2.401145079382e-09	1.766557344693e-10	5.884213500556e-12	5.100883272413e-14	2.068180415497e-17	4.252577647850e-07	2.998813930798e-07	1.182346669246e-07	2.738352361080e-08	3.551780181491e-09	2.142011148377e-10	3.570750191023e-12	3.279162625466e-15	4.174499644679e-07	3.038291122578e-07	1.246553347847e-07	2.814449427589e-08	2.954798188208e-09	8.948566340226e-11	1.769430298997e-13	3.997142405990e-07	2.930372580466e-07	1.171154801288e-07	2.167577457445e-08	1.196971200907e-09	5.085750398564e-12	3.866343312974e-07	2.793207938186e-07	9.461606073327e-08	1.001215232433e-08	9.623195615994e-11	3.745048778661e-07	2.459783856697e-07	5.451571930767e-08	1.323507299096e-09	3.419720139467e-07	1.825867404671e-07	1.338917358723e-08	2.938969960618e-07	8.780935993556e-08	1.826718343346e-07
6.634447365049e+02	1.587129921282e-07	8.472377268167e-08	1.862114554663e-08	2.719958666464e-09	2.769305133593e-10	1.839851345951e-11	6.894646595757e-13	1.104948165684e-14	4.241036102011e-17	6.862933235195e-21	2.222025084755e-07	1.429949277242e-07	4.788011890317e-08	9.978631285792e-09	1.311331461672e-09	9.817241338819e-11	3.274344605754e-12	2.826582233854e-14	1.179624883593e-17	2.280610461411e-07	1.617133299220e-07	6.420572763712e-08	1.510006473788e-08	1.979917453143e-09	1.188144056552e-10	1.986376371307e-12	1.880731899748e-15	2.263106778121e-07	1.667081967598e-07	6.931299951423e-08	1.567279595380e-08	1.636407521070e-09	5.006564049635e-11	1.020178793229e-13	2.219220758070e-07	1.633833364838e-07	6.498556371001e-08	1.202040531116e-08	6.744945800888e-10	2.947588707594e-12	2.147587000338e-07	1.546697558838e-07	5.277106405766e-08	5.690611031295e-09	5.608567846618e-11	2.083430139208e-07	1.386576273428e-07	3.129721105885e-08	7.763235062635e-10	1.955041163922e-07	1.060385161356e-07	7.913751546531e-09	1.730231493240e-07	5.227495626190e-08	1.075911163823e-07
9.052181499767e+02	7.866151036345e-08	4.282462873251e-08	9.527276753337e-09	1.405128655234e-09	1.443066199351e-10	9.664704464834e-12	3.645502306225e-13	5.907317669875e-15	2.287905277655e-17	3.727904356867e-21	1.134606349392e-07	7.368994935187e-08	2.488037343277e-08	5.226750221233e-09	6.914569875933e-10	5.215516497339e-11	1.760253896972e-12	1.522970210962e-14	6.451377007473e-18	1.183649524290e-07	8.452558241864e-08	3.377699917630e-08	7.990141824483e-09	1.057322652072e-09	6.404545518475e-11	1.069295476570e-12	1.035982989557e-15	1.189531864356e-07	8.805220356429e-08	3.685067529049e-08	8.413257435341e-09	8.824959486671e-10	2.697607457714e-11	5.658470597010e-14	1.178259938273e-07	8.743891594883e-08	3.502119819551e-08	6.476237251508e-09	3.647892358056e-10	1.644561265916e-12	1.156502078054e-07	8.340156543461e-08	2.841779990433e-08	3.101196988199e-09	3.142123328804e-11	1.121672367950e-07	7.500960199899e-08	1.726077908224e-08	4.353976331326e-10	1.072742062555e-07	5.922403749970e-08	4.420201160414e-09	9.682763543460e-08	2.892227989574e-08	5.989871785324e-08
1.235098952422e+03	3.816315718970e-08	2.112600542509e-08	4.749130441178e-09	7.064173557754e-10	7.309367458929e-11	4.928980729953e-12	1.871874446349e-13	3.054980157993e-15	1.192728583711e-17	1.965152295285e-21	5.645931776563e-08	3.696676832788e-08	1.257244399647e-08	2.658983854542e-09	3.540220554476e-10	2.687826299682e-11	9.129121532810e-13	7.965204067851e-15	3.403097396035e-18	5.974907317860e-08	4.292353527841e-08	1.725185931033e-08	4.105035306050e-09	5.464668475150e-10	3.330099436503e-11	5.608194208789e-13	5.468343271109e-16	6.070380056566e-08	4.515979884162e-08	1.899933137176e-08	4.360182474367e-09	4.601600475117e-10	1.418074589352e-11	2.989813743661e-14	6.069667878097e-08	4.524241449981e-08	1.820478080900e-08	3.388067217441e-09	1.921005940222e-10	8.704944962874e-13	6.006225875244e-08	4.352446010085e-08	1.492046611079e-08	1.635273020545e-09	1.668173327190e-11	5.882362521181e-08	3.950249924096e-08	9.114503581264e-09	2.322858304969e-10	5.660463400448e-08	3.139041620748e-08	2.375276684316e-09	5.184297857965e-08	1.563814899955e-08	3.232072884131e-08
1.685195355743e+03	1.817903000896e-08	1.020925205867e-08	2.315876126641e-09	3.469649204960e-10	3.612552068962e-11	2.450466702379e-12	9.361391971877e-14	1.537429558809e-15	6.045993545793e-18	1.005477636737e-21	2.749081093936e-08	1.812375102918e-08	6.201460477173e-09	1.319061355259e-09	1.766080267718e-10	1.348410760714e-11	4.606989923048e-13	4.046878344170e-15	1.743805394285e-18	2.944596971672e-08	2.126065271264e-08	8.588072797021e-09	2.053939383071e-09	2.748644089365e-10	1.684443954895e-11	2.854997051844e-13	2.806300883735e-16	3.019576333829e-08	2.256210742919e-08	9.535203529421e-09	2.198800791146e-09	2.332836692433e-10	7.232302105569e-12	1.536846285104e-14	3.043914225005e-08	2.277999244660e-08	9.206234416837e-09	1.721721306160e-09	9.815340625931e-11	4.482533590490e-13	3.034925007229e-08	2.207910091214e-08	7.602104758775e-09	8.372779965109e-10	8.606583959551e-12	2.994411590407e-08	2.018518315236e-08	4.679291719033e-09	1.200855347584e-10	2.902550789635e-08	1.617566909559e-08	1.230510965590e-09	2.682704861632e-08	8.127162238589e-09	1.694797516278e-08
2.299316489134e+03	8.520777987081e-09	4.845322380449e-09	1.107652280799e-09	1.669907130664e-10	1.748329372818e-11	1.192051327564e-12	4.577016005809e-14	7.556751799650e-16	2.989486054964e-18	5.013254078852e-22	1.313169128994e-08	8.708888067248e-09	2.995988888129e-09	6.404615520022e-10	8.616492879126e-11	6.610218244843e-12	2.269608717602e-13	2.004835150017e-15	8.706610318001e-19	1.421461231071e-08	1.030908289436e-08	4.182437757487e-09	1.004629705054e-09	1.350404375683e-10	8.314240118625e-12	1.416777820818e-13	1.402961783546e-16	1.469592381787e-08	1.102176565017e-08	4.675921005034e-09	1.082595865271e-09	1.153600819985e-10	3.594927283375e-12	7.693013607878e-15	1.491749738131e-08	1.120150952768e-08	4.543218668518e-09	8.530999651958e-10	4.887340444338e-11	2.246815661885e-13	1.496722561819e-08	1.092390801881e-08	3.775397326846e-09	4.177224251596e-10	4.320360075807e-12	1.485903172296e-08	1.005154020372e-08	2.339964186653e-09	6.038978889701e-11	1.450031199055e-08	8.112445781723e-09	6.202863639789e-10	1.350644130825e-08	4.111098002852e-09	8.628918614519e-09
3.137236462934e+03	3.938468187328e-09	2.264017366208e-09	5.211061433338e-10	7.899230116537e-11	8.309347490958e-12	5.690374825539e-13	2.194393902005e-14	3.639565846976e-16	1.447565950888e-18	2.444883070177e-22	6.170958598732e-09	4.113937006013e-09	1.421790201320e-09	3.052407375160e-10	4.123545298760e-11	3.176409306349e-12	1.095344896176e-13	9.724309753187e-16	4.250974736754e-19	6.741291269951e-09	4.907638050481e-09	1.998454515568e-09	4.818254479451e-10	6.501459485457e-11	4.019529183571e-12	6.882125559488e-14	6.857360269337e-17	7.018090314201e-09	5.280381667472e-09	2.247566597337e-09	5.222047371202e-10	5.586427049861e-11	1.748719238681e-12	3.764270065280e-15	7.166472055647e-09	5.397030204296e-09	2.196037778187e-09	4.138537273969e-10	2.380848004872e-11	1.100642930974e-13	7.230305142484e-09	5.292475320040e-09	1.835128619311e-09	2.038229401560e-10	2.119067721043e-12	7.217649685203e-09	4.896868153046e-09	1.143991957448e-09	2.966445472547e-11	7.083154810579e-09	3.975917433237e-09	3.052865487653e-10	6.640742470189e-09	2.029256682966e-09	4.283141486118e-09
4.280512348289e+03	1.798019042567e-09	1.043458717006e-09	2.415850757562e-10	3.679489037841e-11	3.886778195231e-12	2.672084818330e-13	1.034383655603e-14	1.722595003089e-16	6.882455867261e-19	1.169620709174e-22	2.858099780832e-09	1.913973926020e-09	6.641735798362e-10	1.431320170625e-10	1.940619690421e-11	1.500330281568e-12	5.193348624660e-14	4.630040866677e-16	2.035726417084e-19	3.147268000831e-09	2.298931329622e-09	9.392291641404e-10	2.271921544119e-10	3.076060496711e-11	1.908555417249e-12	3.280931310029e-14	3.287004277324e-17	3.296728589659e-09	2.487438778876e-09	1.061875823750e-09	2.474819220054e-10	2.656262033436e-11	8.346904992166e-13	1.806056877099e-15	3.384198223041e-09	2.555227098989e-09	1.042570507441e-09	1.970749682710e-10	1.137869848487e-11	5.285901160830e-14	3.430863591108e-09	2.517472752839e-09	8.753617298712e-10	9.755284498829e-11	1.018788208196e-12	3.440786135341e-09	2.340471356405e-09	5.484700385868e-10	1.428029865160e-11	3.393436551924e-09	1.910236614393e-09	1.472162709437e-10	3.199453958200e-09	9.811102512057e-10	2.080870277673e-09
